"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_21" "roc_22" "roc_23" "roc_24" "roc_25" "roc_26" "roc_27" "roc_28" "roc_29" "roc_30" "roc_40" "roc_50" "roc_60" "roc_70" "roc_80" "roc_90" "roc_100" "roc_110" "roc_120" "roc_130" "roc_140" "roc_150" "roc_160" "roc_170" "roc_180" "roc_190" "roc_200"
1 0.775086872586873 0.780888030888031 0.782046332046332 0.786785714285714 0.784826254826255 0.790772200772201 0.795492277992278 0.79738416988417 0.796737451737452 0.804739382239382 0.803455598455598 0.805839768339768 0.812451737451737 0.810994208494208 0.817007722007722 0.820569498069498 0.815752895752896 0.826071428571428 0.8275 0.831592664092664 0.821467181467181 0.827133204633205 0.826679536679537 0.834951737451737 0.835289575289575 0.832557915057915 0.843397683397683 0.846824324324325 0.847181467181467 0.851254826254826 0.850772200772201 0.864623552123552 0.8753861003861 0.894816602316602 0.899449806949807 0.90296332046332 0.91042471042471 0.911264478764479 0.926554054054054 0.929700772200772 0.928581081081081 0.931920849420849 0.934623552123552 0.93734555984556 0.942326254826255 0.944507722007722 0.954372586872587
2 0.939118800461361 0.935129565551711 0.936442906574395 0.937008842752787 0.932364475201845 0.932167627835448 0.92879354094579 0.932281430219147 0.931364859669358 0.927757016532103 0.930949634755863 0.924755094194541 0.927304882737408 0.926206843521722 0.925142637447136 0.924272202998847 0.92718185313341 0.92400461361015 0.923832372164552 0.921033448673587 0.920369088811996 0.920747404844291 0.920350634371396 0.923257208765859 0.921571703191081 0.919904652056901 0.918705113417916 0.917259515570934 0.918597462514418 0.923026528258362 0.909059592464437 0.914629757785467 0.915537101114956 0.918923490965014 0.915780084582853 0.920036908881199 0.914826605151865 0.921467128027682 0.930066897347174 0.920956555171088 0.924933487120338 0.9279815455594 0.924693579392541 0.935046520569012 0.938937331795463 0.934157631680123 0.945940792003076
3 0.815843761850588 0.818119074706105 0.812749336367084 0.813067880166856 0.804338263177854 0.801577550246492 0.821395525218051 0.82067500948047 0.821767159651119 0.820136518771331 0.8173606370876 0.819764884338263 0.817648843382632 0.818354190367842 0.826757679180887 0.813431930223739 0.822866894197952 0.821410693970421 0.822791050436102 0.819287068638604 0.821820250284414 0.834524080394388 0.81871065604854 0.829169510807736 0.823807356844899 0.834683352294274 0.833780811528252 0.823094425483504 0.833924914675768 0.834819871065605 0.831482745544179 0.853227152066742 0.843503981797497 0.857353052711414 0.85808115282518 0.875919605612438 0.881494122108457 0.885582100872203 0.891459992415623 0.881046643913538 0.88517254455821 0.894326886613576 0.895623814941221 0.901706484641638 0.91811149032992 0.916283655669321 0.900849450132727
4 0.793636363636364 0.79775974025974 0.798214285714286 0.805487012987013 0.793636363636364 0.804967532467532 0.803506493506494 0.800292207792208 0.815064935064935 0.821785714285714 0.810616883116883 0.800649350649351 0.805616883116883 0.807175324675325 0.835389610389611 0.810779220779221 0.810097402597403 0.814155844155844 0.81987012987013 0.822792207792208 0.810844155844156 0.82262987012987 0.824155844155844 0.829902597402597 0.823896103896104 0.829415584415584 0.815844155844156 0.830097402597402 0.828961038961039 0.835487012987013 0.82288961038961 0.843733766233766 0.863733766233766 0.855746753246753 0.87737012987013 0.87775974025974 0.885194805194805 0.901948051948052 0.896363636363636 0.891525974025974 0.914090909090909 0.920487012987013 0.922532467532468 0.933798701298702 0.920876623376623 0.941850649350649 0.932922077922078
5 0.839622047244095 0.834225721784777 0.834939632545932 0.824398950131234 0.841028871391076 0.808482939632546 0.830677165354331 0.824902887139107 0.812955380577428 0.821018372703412 0.804409448818898 0.823160104986877 0.814110236220472 0.799580052493438 0.827191601049869 0.813144356955381 0.82345406824147 0.825385826771653 0.82488188976378 0.796094488188976 0.799076115485564 0.797081364829396 0.78597375328084 0.8061312335958 0.792188976377953 0.789522309711286 0.805333333333333 0.787086614173228 0.79901312335958 0.787002624671916 0.794099737532808 0.798992125984252 0.764955380577428 0.76394750656168 0.779989501312336 0.783769028871391 0.806194225721785 0.799475065616798 0.800818897637795 0.827464566929134 0.8270656167979 0.813186351706037 0.85555905511811 0.860094488188976 0.865112860892388 0.844577427821522 0.866057742782152
6 0.767834482758621 0.773177011494253 0.774197701149425 0.778151724137931 0.78015632183908 0.780202298850575 0.78456091954023 0.776845977011494 0.777673563218391 0.788662068965517 0.783429885057471 0.809048275862069 0.794032183908046 0.794519540229885 0.80408275862069 0.808193103448276 0.795972413793103 0.803604597701149 0.80903908045977 0.816331034482759 0.798059770114943 0.813462068965517 0.817388505747126 0.789958620689655 0.81336091954023 0.81984367816092 0.811586206896552 0.80791724137931 0.817894252873564 0.807218390804598 0.816496551724138 0.836413793103448 0.853572413793104 0.85712183908046 0.868193103448276 0.875963218390805 0.885103448275862 0.891650574712644 0.90287816091954 0.893572413793103 0.892901149425287 0.909572413793104 0.920708045977011 0.925029885057471 0.936708045977012 0.941480459770115 0.932091954022989
7 0.863263888888889 0.863217592592593 0.868587962962963 0.869583333333333 0.872314814814815 0.878101851851852 0.876041666666667 0.882361111111111 0.886805555555556 0.88025462962963 0.890532407407407 0.883611111111111 0.890347222222222 0.887986111111111 0.890555555555556 0.891805555555555 0.896226851851852 0.896226851851852 0.89974537037037 0.901412037037037 0.899444444444444 0.909050925925926 0.909305555555555 0.901388888888889 0.898935185185185 0.910648148148148 0.909282407407408 0.928657407407408 0.904444444444445 0.909444444444445 0.915810185185185 0.926458333333333 0.933657407407407 0.941157407407408 0.950949074074074 0.952662037037037 0.955949074074074 0.955324074074074 0.964351851851852 0.961898148148148 0.967453703703704 0.968541666666667 0.969791666666667 0.97400462962963 0.977523148148148 0.975601851851852 0.985069444444444
8 0.840258136924804 0.839741863075197 0.841930415263749 0.846397306397307 0.843916947250281 0.840190796857463 0.853355780022447 0.850953984287318 0.857530864197531 0.85645342312009 0.860662177328844 0.861414141414141 0.850594837261504 0.855735129068462 0.859158249158249 0.855409652076319 0.855768799102133 0.862547699214366 0.849259259259259 0.861986531986532 0.86334455667789 0.859977553310887 0.866610549943883 0.867542087542088 0.870404040404041 0.870112233445567 0.861604938271605 0.86638608305275 0.876531986531986 0.864769921436588 0.877946127946128 0.8831088664422 0.878956228956229 0.887957351290684 0.908159371492705 0.902446689113356 0.912558922558922 0.915432098765432 0.906150392817059 0.921649831649832 0.913097643097643 0.927138047138047 0.928193041526375 0.930527497194164 0.923726150392817 0.947384960718294 0.939887766554433
9 0.631408199643494 0.636660724896019 0.634530600118835 0.639361259655377 0.647584670231729 0.655941770647653 0.658128342245989 0.661574569221628 0.650846702317291 0.653520499108734 0.677112299465241 0.670166369578134 0.670992275698158 0.691090314913844 0.696960784313725 0.684637551990493 0.694812834224599 0.705083184789067 0.706889483065954 0.710882352941176 0.704896019013666 0.699120617944147 0.728366013071895 0.742673796791444 0.727103386809269 0.728333333333333 0.732941176470588 0.742566844919786 0.72931669637552 0.741039809863339 0.799212715389186 0.829159239453357 0.846666666666667 0.89630421865716 0.888743315508021 0.922522281639929 0.913576945929887 0.935243612596554 0.946072489601901 0.948000594177065 0.964916815210933 0.957953060011883 0.967979797979798 0.972961972667855 0.975050505050505 0.980493166963755 0.981963755199049
10 0.786684658287712 0.784661886035932 0.786519649420413 0.784308222170818 0.788741357596319 0.791018582774308 0.779861207494795 0.793141080011309 0.792251265839052 0.793899812373095 0.78733389878428 0.792627547742052 0.790753334875472 0.789459480299175 0.795532423471355 0.790182743465186 0.794034492507775 0.796341018325751 0.801168427275298 0.794394838974992 0.793698820263706 0.802903333590356 0.80163261109826 0.796774359369779 0.79708895571491 0.795521628498728 0.795714909913383 0.796511681702521 0.80882720333102 0.803982316806744 0.804012131493048 0.819033078880407 0.821381242449945 0.832209628087491 0.825624180738684 0.835782764027039 0.84395147402781 0.849981751355797 0.855392088827203 0.854493021821266 0.860920656951191 0.859629886652788 0.860628678643946 0.868929498547819 0.871907882900249 0.880419461793507 0.879978924101061
