"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15"
1 0.813223938223938 0.830598455598456 0.838803088803089 0.81515444015444 0.824565637065637 0.836631274131274 0.833494208494209 0.826254826254826 0.826013513513513 0.830598455598456 0.819980694980695 0.819498069498069 0.827220077220077 0.830598455598456 0.83011583011583
2 0.957093425605536 0.951326412918108 0.952864282968089 0.950249903883122 0.948481353325644 0.943098808150711 0.94317570165321 0.931487889273356 0.930026912725875 0.913187235678585 0.919261822376009 0.945405613225682 0.945482506728181 0.94563629373318 0.94563629373318
3 0.780432309442548 0.796169890026545 0.726204019719378 0.736063708759955 0.740993553280243 0.698521046643914 0.701744406522564 0.695866514979143 0.694160030337505 0.697383390216155 0.710656048540008 0.645999241562382 0.656238149412211 0.64448236632537 0.654910883579826
4 0.806818181818182 0.82711038961039 0.833603896103896 0.797077922077922 0.819805194805195 0.824675324675325 0.832792207792208 0.823863636363636 0.830357142857143 0.826298701298701 0.833603896103896 0.842532467532467 0.813311688311688 0.815746753246753 0.82711038961039
5 0.801049868766404 0.768503937007874 0.794225721784777 0.733858267716535 0.731758530183727 0.666141732283465 0.623097112860892 0.63989501312336 0.637795275590551 0.613123359580052 0.625196850393701 0.63989501312336 0.633595800524934 0.619422572178478 0.582152230971129
6 0.766206896551724 0.665057471264368 0.907586206896552 0.918850574712644 0.920229885057471 0.921149425287356 0.922068965517241 0.92183908045977 0.923448275862069 0.923448275862069 0.92367816091954 0.925057471264368 0.926206896551724 0.951954022988506 0.954022988505747
7 0.930555555555556 0.93287037037037 0.945601851851852 0.94849537037037 0.945023148148148 0.945023148148148 0.96412037037037 0.975115740740741 0.978587962962963 0.984375 0.984375 0.983217592592593 0.983217592592593 0.983217592592593 0.983796296296296
8 0.787598204264871 0.7996632996633 0.8162177328844 0.826599326599327 0.764309764309764 0.771604938271605 0.75 0.719977553310887 0.667508417508417 0.65628507295174 0.660213243546577 0.661054994388328 0.639450056116723 0.641414141414141 0.650392817059484
9 0.585338680926916 0.656565656565657 0.665032679738562 0.894236482471777 0.930555555555556 0.97808972073678 0.975490196078431 0.984402852049911 0.984848484848485 0.98202614379085 0.974376114081996 0.975490196078431 0.976604278074866 0.977346999405823 0.975267379679144
10 0.778214717146015 0.756239237155268 0.775927211041715 0.788148662194464 0.789536587246511 0.792518055876835 0.780887757986995 0.714357313593955 0.739854010846377 0.795897910401727 0.794664199244352 0.797876988716683 0.803377284293315 0.803364433135425 0.803248772714422
