"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20"
1 0.5 0.588199806949807 0.588923745173745 0.589647683397683 0.590371621621622 0.590974903474903 0.591698841698842 0.593146718146718 0.59375 0.594473938223938 0.59507722007722 0.595801158301158 0.596525096525097 0.597972972972973 0.634290540540541 0.634290540540541 0.635497104247104 0.636703667953668 0.637910231660232 0.639116795366795
2 0.541176470588235 0.609496347558631 0.622722029988466 0.623721645520953 0.624183006535948 0.624259900038447 0.624951941560938 0.625182622068435 0.62564398308343 0.625951557093426 0.626643598615917 0.627566320645905 0.628258362168397 0.628335255670896 0.629027297193387 0.68000768935025 0.681007304882737 0.681161091887735 0.659515570934256 0.660053825451749
3 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.51877133105802 0.517633674630262 0.516875237011756 0.515927189988623 0.51554797117937 0.514410314751612
4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.493793103448276 0.491724137931034 0.489655172413793 0.488045977011494 0.488045977011494 0.485977011494253 0.484827586206897 0.482758620689655 0.482298850574713 0.480229885057471
7 0.733796296296296 0.734375 0.734953703703704 0.735532407407407 0.736111111111111 0.736689814814815 0.737268518518518 0.737847222222222 0.737847222222222 0.737847222222222 0.70775462962963 0.708333333333333 0.708912037037037 0.709490740740741 0.710069444444444 0.710648148148148 0.711226851851852 0.711805555555555 0.712384259259259 0.712962962962963
8 0.5 0.5 0.5 0.5 0.640151515151515 0.63874859708193 0.637345679012346 0.635942760942761 0.635662177328844 0.634259259259259 0.634259259259259 0.632856341189675 0.632856341189675 0.632295173961841 0.630892255892256 0.629489337822671 0.628086419753086 0.62780583613917 0.627244668911336 0.625841750841751
9 0.5 0.585487225193108 0.587046939988116 0.589572192513369 0.591874628639334 0.594028520499109 0.590203505644682 0.591243315508021 0.593471479500891 0.650883838383838 0.650883838383838 0.653334818775995 0.653780451574569 0.654523172905526 0.654745989304813 0.655488710635769 0.655711527035056 0.646019013666073 0.646464646464646 0.646761734997029
10 0.5 0.5 0.5 0.5 0.674672938031717 0.674788598452721 0.67594520266276 0.676343588557329 0.676909039504459 0.676998997609685 0.677609427609428 0.678341943609119 0.678457604030123 0.726418125273087 0.727394813272676 0.727561878325237 0.728153031588146 0.728384352430154 0.728667077903719 0.729283933482407
11 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.788745130773511 0.788745130773511 0.788745130773511 0.788745130773511 0.789301613800779 0.790831942125765
12 0.629889827669632 0.576943834443741 0.579753973275766 0.582191908288979 0.568746045334425 0.570272080991551 0.59420478654111 0.616592846242602 0.616611456433543 0.618007220754085 0.667621989801615 0.666579819108944 0.667417277701269 0.668626940112406 0.657330554211486 0.632579000260543 0.634346968399896 0.611456433543008 0.58421111400603 0.581940670711282
13 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
14 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
15 0.5 0.5 0.5 0.5 0.386137381781981 0.38588850174216 0.384644101543056 0.383648581383773 0.383648581383773 0.38265306122449 0.38265306122449 0.381657541065207 0.381657541065207 0.381657541065207 0.381408661025386 0.381408661025386 0.380910900945744 0.379915380786461 0.379915380786461 0.379915380786461
16 0.5 0.5 0.508901181795323 0.510082977118431 0.51081216997737 0.511566507417652 0.512748302740759 0.513427206437013 0.513703796831783 0.514483278853407 0.515212471712346 0.498566758863465 0.496731204425446 0.496354035705306 0.495121951219512 0.493889866733719 0.493814432989691 0.492582348503897 0.498441035956751 0.496655770681418
17 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.51461038961039 0.516156462585034 0.516774891774892 0.518320964749536 0.519094001236858 0.520021645021645 0.520640074211503 0.522186147186147 0.522495361781076 0.522959183673469
18 0.5 0.5 0.5 0.5 0.638157894736842 0.638537449392713 0.638917004048583 0.639296558704453 0.640055668016194 0.641194331983806 0.642332995951417 0.643598178137652 0.644357287449393 0.645495951417004 0.646002024291498 0.652644230769231 0.653276821862348 0.654288967611336 0.655048076923077 0.656439777327935
19 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
20 0.702686202686203 0.702930402930403 0.703215303215303 0.703785103785104 0.703988603988604 0.704558404558405 0.704558404558405 0.704802604802605 0.705006105006105 0.705901505901506 0.707733007733008 0.707895807895808 0.708954008954009 0.708954008954009 0.71025641025641 0.683272283272283 0.683597883597884 0.683923483923484 0.685307285307285 0.686691086691087
21 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.724299065420561 0.725077881619938 0.725077881619938 0.725856697819315 0.726635514018692 0.726635514018692 0.747663551401869 0.748442367601246 0.749221183800623 0.75 0.750778816199377 0.751557632398754 0.752336448598131
22 0.500127272727273 0.513872727272727 0.529527272727273 0.551890909090909 0.564745454545455 0.5842 0.594127272727273 0.582490909090909 0.583945454545455 0.567290909090909 0.569290909090909 0.559363636363636 0.559727272727273 0.559763636363636 0.523254545454545 0.525218181818182 0.527218181818182 0.510963636363636 0.518745454545455 0.542818181818182
23 0.5 0.5 0.5 0.5 0.5 0.653424657534247 0.653424657534247 0.654794520547945 0.655479452054795 0.655479452054795 0.656164383561644 0.656164383561644 0.657191780821918 0.657191780821918 0.657191780821918 0.657191780821918 0.657191780821918 0.657191780821918 0.657876712328767 0.657876712328767
24 0.5 0.612634230656075 0.522745660488379 0.555668946749044 0.46099036481318 0.459556119446896 0.566821123859959 0.442023389232127 0.551559282141806 0.609535892909679 0.602070461900559 0.602383053839365 0.591037805236834 0.574157840541336 0.574672697852309 0.575812739040894 0.544884524860253 0.510370697263901 0.511676228302442 0.50722639011474
25 0.5 0.5 0.5 0.5 0.5 0.5 0.786129458388375 0.786129458388375 0.786393659180978 0.786922060766182 0.786922060766182 0.787186261558785 0.787450462351387 0.787714663143989 0.788243064729194 0.788243064729194 0.788243064729194 0.788771466314399 0.789299867899604 0.789299867899604
26 0.773973087818697 0.785233711048159 0.786437677053824 0.786508498583569 0.78679178470255 0.794086402266289 0.784348441926346 0.784560906515581 0.785410764872521 0.784915014164306 0.813810198300283 0.813951841359773 0.826062322946176 0.826062322946176 0.826416430594901 0.826983002832861 0.827124645892351 0.82570821529745 0.82570821529745 0.825991501416431
27 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
28 0.523028883684621 0.529143897996357 0.530184751496227 0.531225604996097 0.532786885245902 0.534348165495707 0.536169659120479 0.537991152745251 0.538251366120219 0.540072859744991 0.541634139994796 0.542674993494666 0.54423627374447 0.695550351288056 0.697111631537861 0.698152485037731 0.698933125162633 0.699713765287536 0.700754618787406 0.701014832162373
29 0.5 0.5 0.5 0.5 0.5 0.5 0.776174576675411 0.776651562127355 0.777367040305271 0.777367040305271 0.777367040305271 0.77855950393513 0.779036489387074 0.780109706653947 0.780109706653947 0.777605533031242 0.777605533031242 0.778797996661102 0.778797996661102 0.778797996661102
30 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.653142402545744 0.654733492442323 0.870326173428799 0.870326173428799 0.870326173428799 0.871121718377088
