"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_30" "roc_40" "roc_50" "roc_60" "roc_70" "roc_80" "roc_90" "roc_100" "roc_110" "roc_120" "roc_130" "roc_140" "roc_150" "roc_160" "roc_170" "roc_180" "roc_190" "roc_200"
1 0.811776061776062 0.818571428571429 0.82246138996139 0.826312741312742 0.823098455598456 0.830028957528958 0.829111969111969 0.829478764478764 0.836486486486486 0.835820463320463 0.840482625482625 0.84003861003861 0.841032818532819 0.835752895752896 0.841814671814672 0.838349420849421 0.844044401544402 0.846110038610039 0.843030888030888 0.850222007722008 0.852712355212355 0.858764478764479 0.859739382239382 0.864227799227799 0.872171814671815 0.886370656370656 0.862277992277992 0.879758687258687 0.886592664092664 0.889758687258687 0.90734555984556 0.886573359073359 0.900299227799228 0.911003861003861 0.90438223938224 0.909333976833977 0.916959459459459 0.920994208494209
2 0.94318800461361 0.943101883890811 0.935953863898501 0.93998308342945 0.937968473663975 0.925038062283737 0.93356401384083 0.926139177239523 0.93198923490965 0.929134948096886 0.924515186466744 0.919341791618608 0.917440984236832 0.922568242983468 0.920424452133795 0.921033448673587 0.912621299500192 0.92315570934256 0.915041906958862 0.914285274894271 0.901204152249135 0.887517108804306 0.905977700884275 0.90719876970396 0.914251441753172 0.915598615916955 0.924530565167243 0.913990003844675 0.909794694348328 0.911624759707805 0.904218377547097 0.928129181084198 0.917044213763937 0.908155324875048 0.921144175317186 0.94242829680892 0.918988081507113 0.959550941945405
3 0.794387561623056 0.787288585513842 0.78515737580584 0.784854000758438 0.783337125521426 0.785824800910125 0.786605991657186 0.789996207811907 0.785680697762609 0.811202123625332 0.80325369738339 0.816480849450133 0.783458475540387 0.794349639742131 0.799780053090633 0.788729616989003 0.797747440273038 0.79418278346606 0.830936670458855 0.797952218430034 0.801683731513083 0.815752749336367 0.869472885855138 0.865968904057641 0.848100113765643 0.892271520667425 0.874516496018202 0.913022373909746 0.91089874857793 0.913067880166856 0.903921122487675 0.900970800151687 0.908752370117558 0.913742889647327 0.909222601441031 0.938892681076981 0.93424345847554 0.912779673871824
4 0.796850649350649 0.799415584415584 0.800974025974026 0.808636363636364 0.805714285714286 0.807337662337662 0.808961038961039 0.81512987012987 0.812012987012987 0.821688311688312 0.810941558441558 0.806915584415584 0.817824675324675 0.81051948051948 0.84038961038961 0.817564935064935 0.823181818181818 0.804383116883117 0.826006493506494 0.828019480519481 0.827045454545455 0.841688311688312 0.852207792207792 0.863538961038961 0.851461038961039 0.868116883116883 0.881396103896104 0.875779220779221 0.904772727272727 0.893506493506494 0.887727272727273 0.915974025974026 0.923084415584416 0.916233766233766 0.933863636363636 0.921233766233766 0.943441558441559 0.931233766233766
5 0.850372703412073 0.846215223097113 0.841364829396325 0.831979002624672 0.83561154855643 0.815958005249344 0.822383202099738 0.821270341207349 0.804115485564304 0.805459317585302 0.799160104986877 0.809616797900262 0.798488188976378 0.780325459317585 0.793343832020997 0.791370078740157 0.801217847769029 0.795800524934383 0.77215748031496 0.760566929133858 0.749459317585302 0.737028871391076 0.749564304461942 0.792839895013123 0.788283464566929 0.826330708661417 0.831769028871391 0.839223097112861 0.833595800524934 0.853711286089239 0.87288188976378 0.873574803149606 0.87145406824147 0.908472440944882 0.920293963254593 0.916157480314961 0.914645669291339 0.910488188976378
6 0.761425287356322 0.764616091954023 0.77703908045977 0.791080459770115 0.794547126436781 0.786970114942529 0.804 0.778197701149425 0.797967816091954 0.809857471264368 0.808652873563219 0.85848275862069 0.808404597701149 0.816901149425287 0.835144827586207 0.832119540229885 0.824928735632184 0.834749425287357 0.850703448275862 0.848570114942529 0.865425287356322 0.867411494252873 0.880468965517241 0.884413793103448 0.874381609195402 0.883696551724138 0.88672183908046 0.90039540229885 0.913636781609195 0.909820689655172 0.906059770114942 0.907990804597701 0.911963218390805 0.935273563218391 0.94423908045977 0.938262068965517 0.948220689655172 0.945967816091954
7 0.887245370370371 0.892222222222222 0.898310185185185 0.899027777777778 0.911712962962963 0.917939814814815 0.924097222222222 0.924814814814815 0.931967592592593 0.924537037037037 0.933263888888889 0.925162037037037 0.934166666666667 0.937800925925926 0.942569444444444 0.94724537037037 0.941851851851852 0.947407407407407 0.948425925925926 0.951759259259259 0.963217592592593 0.96599537037037 0.96962962962963 0.979259259259259 0.974143518518518 0.977731481481482 0.980069444444444 0.979282407407407 0.980324074074074 0.980625 0.981967592592592 0.982523148148148 0.984375 0.981851851851852 0.985324074074074 0.986967592592593 0.984791666666666 0.989837962962963
8 0.835903479236813 0.836195286195286 0.837239057239057 0.834511784511785 0.838327721661055 0.834410774410774 0.841964085297419 0.835476992143659 0.841582491582492 0.829090909090909 0.822659932659932 0.836734006734007 0.837598204264871 0.83314253647587 0.84989898989899 0.831111111111111 0.830695847362514 0.831200897867564 0.849236812570146 0.838002244668911 0.841885521885522 0.868226711560045 0.844466891133558 0.855903479236813 0.882502805836139 0.88986531986532 0.905802469135803 0.894377104377104 0.909337822671156 0.909315375982043 0.904725028058362 0.914074074074074 0.928013468013468 0.932356902356902 0.904848484848485 0.920751964085297 0.948282828282828 0.940213243546577
9 0.613954248366013 0.627664884135472 0.632887700534759 0.673196672608437 0.720614973262032 0.732364824717766 0.741723113487819 0.735718954248366 0.733083778966132 0.783582887700535 0.844055258467023 0.818428401663696 0.791521093285799 0.832150920974451 0.86283422459893 0.845273321449792 0.883407605466429 0.887712418300654 0.936277480689245 0.915576351752822 0.967780748663102 0.980525846702317 0.980710041592395 0.979129530600119 0.982590612002377 0.98284907902555 0.982470291146762 0.987110814022579 0.987433155080214 0.985732323232323 0.988195187165775 0.99132798573975 0.990417409387998 0.990150029708853 0.991833036244801 0.989915329768271 0.994122103386809 0.99180926916221
10 0.771287428997353 0.763148019636569 0.767873647415632 0.759851954661115 0.764862364099005 0.766270851003676 0.760194823553602 0.768034029866091 0.763155730331303 0.770554912997661 0.761106227671113 0.756058806898502 0.764609967358059 0.758594597373223 0.764452155139178 0.766876911609736 0.779524507158095 0.757246767933791 0.750988768088005 0.75810728146606 0.771538797645668 0.786888220628679 0.767330814506387 0.797227234173799 0.80984552908217 0.817446731950549 0.817624591975737 0.813417636929087 0.815332973500912 0.834601228570694 0.836128203151104 0.850295319608297 0.853025162567147 0.833278330377567 0.862646053409412 0.872752718019894 0.869795152543244 0.881886035931837
