"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_21" "roc_22" "roc_23" "roc_24" "roc_25" "roc_26" "roc_27" "roc_28" "roc_29" "roc_30"
1 0.794642857142857 0.812982625482625 0.827702702702703 0.849179536679537 0.855453667953668 0.863175675675676 0.865830115830116 0.873310810810811 0.873552123552124 0.873793436293436 0.848696911196911 0.854005791505791 0.857866795366795 0.862934362934363 0.870897683397683 0.876206563706564 0.879102316602317 0.881274131274131 0.881998069498069 0.884893822393822 0.88730694980695 0.88730694980695 0.88730694980695 0.88730694980695 0.88730694980695 0.88730694980695 0.890926640926641 0.891167953667954 0.891167953667954 0.891167953667954
2 0.925105728565936 0.914494425221069 0.910649750096117 0.913187235678585 0.923798539023453 0.88319876970396 0.867435601691657 0.871126489811611 0.882506728181469 0.873971549404075 0.864436755094195 0.877201076509035 0.873125720876586 0.873202614379085 0.869127258746636 0.873663975394079 0.882814302191465 0.885121107266436 0.887658592848904 0.888504421376394 0.888504421376394 0.888888888888889 0.889427143406382 0.890042291426374 0.890196078431372 0.890196078431372 0.915570934256055 0.915570934256055 0.915570934256055 0.915570934256055
3 0.84641638225256 0.866325369738339 0.846037163443307 0.825938566552901 0.830868411073189 0.828782707622298 0.842434584755404 0.788775123246113 0.801858172165339 0.802616609783845 0.805081532043989 0.802427000379219 0.797117937049678 0.761660978384528 0.772089495638984 0.730185817216534 0.739666287447857 0.74383769434964 0.742320819112628 0.750853242320819 0.754076602199469 0.754645430413349 0.754645430413349 0.754645430413349 0.755024649222601 0.755024649222601 0.761471368979901 0.765263557072431 0.765073947667804 0.766211604095563
4 0.821428571428571 0.843344155844156 0.835227272727273 0.741071428571429 0.750811688311688 0.762987012987013 0.774350649350649 0.788961038961039 0.804383116883117 0.814123376623377 0.819805194805195 0.833603896103896 0.835227272727273 0.842532467532467 0.847402597402597 0.849837662337662 0.853084415584416 0.853896103896104 0.858766233766234 0.86038961038961 0.861201298701299 0.859577922077922 0.864448051948052 0.864448051948052 0.864448051948052 0.864448051948052 0.866883116883117 0.867694805194805 0.867694805194805 0.867694805194805
5 0.738057742782152 0.776377952755905 0.790551181102362 0.794225721784777 0.702887139107612 0.710236220472441 0.650918635170604 0.66509186351706 0.678215223097113 0.69238845144357 0.703937007874016 0.715485564304462 0.71758530183727 0.699737532808399 0.702887139107612 0.681889763779528 0.682939632545932 0.688713910761155 0.69238845144357 0.690288713910761 0.687664041994751 0.688713910761155 0.689763779527559 0.689763779527559 0.690813648293963 0.691338582677165 0.692913385826772 0.69501312335958 0.69501312335958 0.69501312335958
6 0.794022988505747 0.816091954022989 0.828505747126437 0.845977011494253 0.856551724137931 0.863448275862069 0.881379310344828 0.886896551724138 0.889885057471264 0.873563218390805 0.873333333333333 0.874022988505747 0.875632183908046 0.87816091954023 0.881609195402299 0.885057471264368 0.877471264367816 0.878850574712644 0.892413793103448 0.89448275862069 0.895172413793103 0.896091954022988 0.904137931034483 0.902528735632184 0.902528735632184 0.902758620689655 0.904137931034483 0.908045977011494 0.908505747126437 0.908505747126437
7 0.877314814814815 0.884259259259259 0.900462962962963 0.90625 0.914930555555556 0.920717592592593 0.902777777777778 0.907986111111111 0.913194444444444 0.915509259259259 0.928240740740741 0.929398148148148 0.931712962962963 0.933449074074074 0.935185185185185 0.936921296296296 0.938657407407407 0.940972222222222 0.940972222222222 0.940972222222222 0.941550925925926 0.93287037037037 0.93287037037037 0.93287037037037 0.933449074074074 0.933449074074074 0.934027777777778 0.935185185185185 0.935185185185185 0.935185185185185
8 0.802188552188552 0.821268237934905 0.844556677890011 0.860830527497194 0.843995510662177 0.848204264870931 0.858024691358025 0.86952861952862 0.874298540965208 0.880190796857464 0.862794612794613 0.865319865319865 0.874017957351291 0.877104377104377 0.881313131313131 0.884680134680135 0.892536475869809 0.888608305274972 0.890852974186307 0.891133557800224 0.896184062850729 0.89702581369248 0.897306397306397 0.897586980920314 0.897586980920314 0.897586980920314 0.90347923681257 0.904320987654321 0.904320987654321 0.904320987654321
9 0.657382650029709 0.668746286393345 0.681669637551991 0.689691027926322 0.68218954248366 0.693033273915627 0.708333333333333 0.709298871063577 0.70068330362448 0.709670231729055 0.732620320855615 0.779560308972074 0.779486036838978 0.780154486036839 0.775475341651812 0.781639928698752 0.786616161616162 0.792409387997623 0.815508021390374 0.818033273915627 0.818553178847297 0.821969696969697 0.81951871657754 0.818701723113488 0.818775995246584 0.819741532976827 0.824569221628045 0.828877005347594 0.829545454545455 0.829693998811646
10 0.809828565553756 0.819993831444213 0.80995707713265 0.805035083661038 0.811602025342483 0.819685403654869 0.824029095021461 0.81795049733981 0.818708715655281 0.818130413550261 0.816691083866656 0.821099031022695 0.815495926182949 0.815084689130491 0.814506387025471 0.808016552291361 0.809622947027527 0.814300768499242 0.815971419024854 0.816177037551083 0.815958567866965 0.815547330814506 0.81586860976174 0.815894312077518 0.815894312077518 0.815894312077518 0.815894312077518 0.81795049733981 0.818361734392269 0.820867710180687
