"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20"
1 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979
2 0.477272727272727 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.575284090909091 0.607954545454545 0.607954545454545 0.607954545454545 0.607954545454545 0.607954545454545
3 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.444962686567164 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813
4 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842 0.44524236983842
5 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232
6 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.556109725685786 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509 0.500623441396509
7 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858
8 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037
9 0.506172839506173 0.521604938271605 0.521604938271605 0.521604938271605 0.521604938271605 0.521604938271605 0.537037037037037 0.537037037037037 0.552469135802469 0.614197530864198 0.614197530864198 0.614197530864198 0.614197530864198 0.614197530864198 0.614197530864198 0.614197530864198 0.614197530864198 0.598765432098765 0.598765432098765 0.598765432098765
10 0.564972241498959 0.564972241498959 0.564972241498959 0.564972241498959 0.545779840388619 0.545779840388619 0.545779840388619 0.545779840388619 0.545779840388619 0.545779840388619 0.539382373351839 0.539382373351839 0.539382373351839 0.596959576682859 0.596959576682859 0.596959576682859 0.596959576682859 0.596959576682859 0.596959576682859 0.596959576682859
11 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.537121212121212 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849
12 0.609819790147273 0.622406248529619 0.609819790147273 0.609819790147273 0.609819790147273 0.609819790147273 0.609819790147273 0.622406248529619 0.634992706911965 0.634992706911965 0.697924998823696 0.697924998823696 0.697924998823696 0.647579165294311 0.622406248529619 0.622406248529619 0.622406248529619 0.572060415000235 0.572060415000235 0.584646873382581
13 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544 0.566114994517544
14 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229 0.583600770218229
15 0.444550669216061 0.444550669216061 0.444550669216061 0.444550669216061 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767
