"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_21" "roc_22" "roc_23" "roc_24" "roc_25" "roc_26" "roc_27" "roc_28" "roc_29" "roc_30"
1 0.794642857142857 0.799951737451737 0.800675675675676 0.800434362934363 0.800434362934363 0.80019305019305 0.799951737451737 0.801158301158301 0.798745173745174 0.818050193050193 0.825772200772201 0.826496138996139 0.826978764478765 0.851592664092664 0.851351351351351 0.855212355212355 0.855453667953668 0.855453667953668 0.855453667953668 0.855453667953668 0.855694980694981 0.855453667953668 0.855694980694981 0.859073359073359 0.860279922779923 0.876689189189189 0.876689189189189 0.87765444015444 0.883928571428571 0.890926640926641
2 0.925105728565936 0.917185697808535 0.915494040753556 0.870203767781622 0.864667435601692 0.95278738946559 0.954171472510573 0.954632833525567 0.955017301038062 0.954786620530565 0.955478662053057 0.955555555555555 0.95440215301807 0.954786620530565 0.954786620530565 0.955863129565552 0.956324490580546 0.956324490580546 0.955709342560554 0.955709342560554 0.955709342560554 0.955709342560554 0.955709342560554 0.955709342560554 0.955709342560554 0.955709342560554 0.955786236063053 0.956247597078047 0.938869665513264 0.938869665513264
3 0.84641638225256 0.848122866894198 0.848691695108077 0.848691695108077 0.850398179749716 0.850398179749716 0.850398179749716 0.850587789154342 0.850587789154342 0.876753886992795 0.876943496397421 0.876753886992795 0.879977246871445 0.879977246871445 0.886803185437998 0.886803185437998 0.886803185437998 0.890595373530527 0.890595373530527 0.890595373530527 0.890595373530527 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406 0.891164201744406
4 0.821428571428571 0.843344155844156 0.853084415584416 0.855519480519481 0.855519480519481 0.857142857142857 0.849025974025974 0.849025974025974 0.849025974025974 0.849025974025974 0.858766233766234 0.858766233766234 0.859577922077922 0.792207792207792 0.792207792207792 0.799512987012987 0.799512987012987 0.80275974025974 0.805194805194805 0.808441558441559 0.808441558441559 0.825487012987013 0.823863636363636 0.823863636363636 0.826298701298701 0.826298701298701 0.82711038961039 0.827922077922078 0.827922077922078 0.829545454545455
5 0.738057742782152 0.776377952755905 0.709711286089239 0.680314960629921 0.669291338582677 0.68241469816273 0.665616797900262 0.663517060367454 0.659842519685039 0.66246719160105 0.667716535433071 0.667716535433071 0.668766404199475 0.674015748031496 0.672965879265092 0.96010498687664 0.961679790026247 0.962204724409449 0.962204724409449 0.962204724409449 0.962204724409449 0.962729658792651 0.906561679790026 0.910761154855643 0.911811023622047 0.913910761154856 0.915485564304462 0.914435695538058 0.916010498687664 0.918635170603675
6 0.794022988505747 0.816091954022989 0.829195402298851 0.832413793103448 0.834712643678161 0.835172413793103 0.835632183908046 0.835862068965517 0.835862068965517 0.842298850574713 0.842528735632184 0.843218390804598 0.844827586206897 0.844827586206897 0.844827586206897 0.848275862068966 0.848735632183908 0.848735632183908 0.848735632183908 0.853563218390805 0.854252873563218 0.85448275862069 0.85448275862069 0.864827586206897 0.864827586206897 0.868505747126437 0.868505747126437 0.871264367816092 0.877701149425287 0.878850574712644
7 0.877314814814815 0.884837962962963 0.888888888888889 0.888888888888889 0.889467592592593 0.889467592592593 0.889467592592593 0.889467592592593 0.889467592592593 0.890046296296296 0.890625 0.897569444444444 0.913773148148148 0.913773148148148 0.916087962962963 0.916087962962963 0.916087962962963 0.91724537037037 0.920138888888889 0.920138888888889 0.920138888888889 0.920138888888889 0.920138888888889 0.920138888888889 0.920717592592593 0.922453703703704 0.928819444444444 0.928819444444444 0.928819444444444 0.928819444444444
8 0.802188552188552 0.790965207631874 0.768518518518518 0.759259259259259 0.755892255892256 0.750280583613917 0.747755331088664 0.771885521885522 0.756734006734007 0.777777777777778 0.777777777777778 0.774971941638608 0.778338945005612 0.780022446689113 0.779741863075196 0.783950617283951 0.7831088664422 0.783389450056117 0.763468013468013 0.765993265993266 0.7665544332211 0.764590347923681 0.764309764309764 0.768518518518518 0.781425364758698 0.781144781144781 0.782547699214366 0.78030303030303 0.779741863075196 0.792087542087542
9 0.657382650029709 0.664587046939988 0.66592394533571 0.667780748663102 0.68048128342246 0.683452168746286 0.696821152703506 0.701426024955437 0.703802733214498 0.705065359477124 0.70736779560309 0.708630421865716 0.750222816399287 0.76678550207962 0.774881164587047 0.777257872846108 0.778149138443256 0.786170528817588 0.81729055258467 0.809491978609626 0.811868686868687 0.767453951277481 0.768642305407011 0.777777777777778 0.783571004159239 0.784536541889483 0.786913250148544 0.790626856803327 0.79144385026738 0.791518122400475
10 0.809828565553756 0.819993831444213 0.82329657902177 0.824748759863264 0.825314210810394 0.825494127020845 0.832009664070733 0.831881152491839 0.835607988279744 0.835800755648084 0.836713187858226 0.833346184491223 0.833359035649112 0.843318683013339 0.843639961960573 0.837445703857918 0.838229624489166 0.845811807643869 0.846210193538438 0.84617164006477 0.846210193538438 0.846248747012106 0.846428663222556 0.831598427018274 0.831547022386717 0.831238594597373 0.82958079522965 0.829824967229547 0.830184799650448 0.828848279229959
11 0.860183639398998 0.849888703394546 0.85559265442404 0.857122982749026 0.858514190317195 0.858653311074012 0.858653311074012 0.858653311074012 0.863522537562604 0.881886477462437 0.881886477462437 0.881886477462437 0.882025598219254 0.882025598219254 0.880773511407902 0.887033945464663 0.904424040066778 0.904841402337229 0.904980523094046 0.904980523094046 0.904980523094046 0.904980523094046 0.904980523094046 0.905119643850863 0.916805787423484 0.920840289371174 0.920840289371174 0.92417918753478 0.92417918753478 0.92417918753478
12 0.846354263594745 0.82588305356013 0.825417798786616 0.842799717125098 0.849908810064391 0.850709048274835 0.851081252093646 0.851044031711765 0.851490676294339 0.851453455912458 0.853705289016265 0.856106003647597 0.856031562883835 0.866043845609856 0.866099676182678 0.868258458331783 0.868277068522723 0.868332899095545 0.865876353891391 0.868258458331783 0.868258458331783 0.868332899095545 0.870454460862768 0.872613243011873 0.870305579335244 0.866955744965943 0.867030185729706 0.869282018833513 0.869356459597275 0.869040086351286
13 0.701930428134557 0.668832823649337 0.660518603465851 0.661983944954128 0.678102701325178 0.671158256880734 0.670712283384302 0.676127675840979 0.674216360856269 0.672814729867482 0.671030835881753 0.680810397553517 0.687054026503568 0.688073394495413 0.687372579001019 0.685493119266055 0.684824159021407 0.679153924566769 0.688933486238532 0.688455657492355 0.690653669724771 0.690749235474006 0.691609327217125 0.693839194699286 0.696355759429154 0.703172782874618 0.697725535168196 0.70052879714577 0.702025993883792 0.701261467889908
14 0.818698949824971 0.816219369894982 0.793757292882147 0.801779463243874 0.80659276546091 0.76196032672112 0.764148191365227 0.763564760793466 0.753646441073512 0.743144690781797 0.740081680280047 0.706388564760793 0.705513418903151 0.694865810968495 0.69034422403734 0.682176196032672 0.679259043173862 0.677508751458576 0.675175029171529 0.675029171528588 0.677071178529755 0.678092182030338 0.681009334889148 0.670070011668611 0.669049008168028 0.662485414235706 0.662339556592765 0.657380396732789 0.656942823803967 0.656651108518086
15 0.765057242409159 0.67297162767546 0.689895470383275 0.695868591338975 0.69761075161772 0.698855151816824 0.699601791936287 0.701095072175211 0.724738675958188 0.727476356396217 0.729467396714783 0.734942757590841 0.735689397710304 0.736933797909408 0.737182677949228 0.740418118466899 0.740915878546541 0.741911398705824 0.741911398705824 0.708312593330015 0.708561473369836 0.709308113489298 0.709556993529119 0.70980587356894 0.711548033847685 0.715778994524639 0.716525634644102 0.717272274763564 0.723245395719263 0.725734196117471
