"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19"
1 0.811293436293436 0.829391891891892 0.815637065637066 0.825289575289575 0.818774131274131 0.816361003861004 0.83011583011583 0.892374517374517 0.893098455598456 0.897683397683398 0.897442084942085 0.900337837837838 0.900820463320463 0.901785714285714 0.903233590733591 0.903474903474903 0.901785714285714 0.902027027027027 0.907335907335907
2 0.957093425605536 0.953556324490581 0.947097270280661 0.952941176470588 0.94878892733564 0.945174932718185 0.953479430988082 0.954863514033064 0.954863514033064 0.952095347943099 0.951710880430604 0.95117262591311 0.962475970780469 0.962937331795463 0.962860438292964 0.9520184544406 0.951018838908112 0.961399461745483 0.960322952710496
3 0.799772468714448 0.780242700037922 0.787827076222981 0.73037542662116 0.743458475540387 0.689609404626469 0.719188471748199 0.723359878649981 0.762988244216913 0.767159651118695 0.756541524459613 0.759575274933637 0.718998862343572 0.73739097459234 0.739287068638604 0.749336367083807 0.755593477436481 0.765263557072431 0.766211604095563
4 0.798701298701299 0.784090909090909 0.79788961038961 0.810876623376623 0.835227272727273 0.844967532467532 0.849837662337662 0.86038961038961 0.858766233766234 0.86525974025974 0.854707792207792 0.826298701298701 0.831168831168831 0.836038961038961 0.842532467532467 0.848214285714286 0.845779220779221 0.850649350649351 0.852272727272727
5 0.856167979002625 0.82257217847769 0.783727034120735 0.69238845144357 0.703412073490814 0.658267716535433 0.671391076115486 0.687664041994751 0.699737532808399 0.662992125984252 0.66246719160105 0.667191601049869 0.681364829396325 0.665616797900263 0.647244094488189 0.657742782152231 0.683464566929134 0.68241469816273 0.644094488188976
6 0.688965517241379 0.665057471264368 0.907586206896552 0.844137931034483 0.863448275862069 0.872413793103448 0.881609195402299 0.884827586206897 0.919770114942529 0.92367816091954 0.922528735632184 0.92551724137931 0.926896551724138 0.927126436781609 0.926666666666667 0.926896551724138 0.92551724137931 0.924827586206897 0.925287356321839
7 0.88599537037037 0.943287037037037 0.946759259259259 0.918402777777778 0.868055555555556 0.902777777777778 0.903935185185185 0.939236111111111 0.940393518518518 0.954282407407407 0.963541666666667 0.945601851851852 0.946180555555556 0.951388888888889 0.952546296296296 0.952546296296296 0.952546296296296 0.956597222222222 0.959490740740741
8 0.838103254769921 0.830808080808081 0.794051627384961 0.749158249158249 0.735970819304153 0.712962962962963 0.724747474747475 0.729236812570146 0.711279461279461 0.652076318742985 0.642817059483726 0.64337822671156 0.625140291806958 0.629910213243547 0.642255892255892 0.63327721661055 0.623737373737374 0.623737373737374 0.611391694725028
9 0.610294117647059 0.655377302436126 0.689765300059418 0.894236482471777 0.895127748068925 0.930555555555556 0.975490196078431 0.984402852049911 0.982174688057041 0.97927807486631 0.97704991087344 0.977866904337493 0.97808972073678 0.974079025549614 0.973262032085562 0.973484848484849 0.973559120617944 0.973930481283423 0.974376114081996
10 0.778214717146015 0.773408384095407 0.732811576323027 0.773498342200632 0.755223995682011 0.790179145140977 0.820996221759581 0.789857866193744 0.790667489140772 0.791258642403681 0.792286735034827 0.798853676716272 0.793597553139538 0.797465751664225 0.794998329349474 0.79755570976945 0.796823193769759 0.799444829979181 0.80042151797877
11 0.838063439065108 0.852531997774068 0.892459654980523 0.915692821368948 0.9259877573734 0.929883138564274 0.897607122982749 0.906093489148581 0.906232609905398 0.929465776293823 0.934891485809683 0.954229271007234 0.963689482470785 0.967306622148025 0.967445742904841 0.968280467445743 0.968280467445743 0.97022815804118 0.97022815804118
12 0.820393047232665 0.820076673986675 0.817862061264749 0.760151859158075 0.746454758625824 0.727155990620464 0.955503033461123 0.951222689544795 0.971079763278371 0.968102132727882 0.969963151821938 0.974243495738266 0.971880001488815 0.972121933971043 0.972233595116686 0.972568578553616 0.97303383332713 0.972903561990546 0.973257155618417
13 0.772967635066259 0.790902140672783 0.792877166156983 0.7832250254842 0.79545744138634 0.798706676860347 0.807721712538226 0.79539373088685 0.799088939857288 0.801414373088685 0.843304026503568 0.846170998980632 0.8417749745158 0.842889908256881 0.842029816513762 0.841966106014271 0.841583843017329 0.80842252803262 0.78637869520897
