"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20"
1 0.813223938223938 0.824083011583012 0.838803088803089 0.81515444015444 0.81515444015444 0.826737451737452 0.829150579150579 0.824565637065637 0.831322393822394 0.817326254826255 0.823117760617761 0.820945945945946 0.824324324324324 0.827220077220077 0.833011583011583 0.834459459459459 0.837596525096525 0.83976833976834 0.840974903474903 0.844353281853282
2 0.957093425605536 0.951249519415609 0.952864282968089 0.947943098808151 0.943560169165706 0.938792772010765 0.946559015763168 0.945251826220684 0.934563629373318 0.942329873125721 0.94240676662822 0.942483660130719 0.942560553633218 0.942637447135717 0.942714340638216 0.943944636678201 0.944329104190696 0.944329104190696 0.944329104190696 0.942560553633218
3 0.780432309442548 0.796169890026545 0.726204019719378 0.736063708759955 0.686006825938567 0.699279484262419 0.702502844141069 0.702123625331816 0.705346985210466 0.718240424725066 0.715585893060296 0.725635191505499 0.720326128175958 0.751801289343951 0.75938566552901 0.760333712552143 0.764884338263178 0.76583238528631 0.767918088737201 0.775692074326887
4 0.806818181818182 0.814123376623377 0.833603896103896 0.797077922077922 0.819805194805195 0.824675324675325 0.810876623376623 0.81737012987013 0.8125 0.821428571428571 0.831168831168831 0.839285714285714 0.844155844155844 0.845779220779221 0.796266233766234 0.800324675324675 0.804383116883117 0.800324675324675 0.793019480519481 0.798701298701299
5 0.801049868766404 0.768503937007874 0.794225721784777 0.733858267716535 0.731758530183727 0.666141732283465 0.679265091863517 0.63989501312336 0.637795275590551 0.613123359580052 0.581102362204724 0.586351706036745 0.576902887139108 0.579527559055118 0.584251968503937 0.579527559055118 0.58740157480315 0.609448818897638 0.616272965879265 0.621522309711286
6 0.766206896551724 0.665057471264368 0.907586206896552 0.918850574712644 0.920229885057471 0.921149425287356 0.920919540229885 0.922528735632184 0.925057471264368 0.924367816091954 0.924367816091954 0.945057471264368 0.948045977011494 0.948735632183908 0.956091954022989 0.956091954022989 0.956091954022989 0.95632183908046 0.95632183908046 0.95632183908046
7 0.930555555555556 0.93287037037037 0.945601851851852 0.941550925925926 0.945023148148148 0.96412037037037 0.965277777777778 0.977430555555556 0.980324074074074 0.984375 0.985532407407407 0.982638888888889 0.982638888888889 0.982638888888889 0.982638888888889 0.982638888888889 0.973958333333333 0.973958333333333 0.973958333333333 0.969328703703704
8 0.787598204264871 0.7996632996633 0.8162177328844 0.731200897867564 0.762065095398429 0.769360269360269 0.738496071829405 0.715768799102132 0.662457912457912 0.650673400673401 0.639169472502806 0.631313131313131 0.632435465768799 0.630751964085297 0.633838383838384 0.629349046015713 0.634680134680135 0.638888888888889 0.649270482603816 0.650392817059484
9 0.585338680926916 0.656565656565657 0.665032679738562 0.894236482471777 0.930555555555556 0.97808972073678 0.980169340463458 0.978832442067736 0.984848484848485 0.98202614379085 0.983140225787285 0.974301841948901 0.974524658348188 0.974598930481283 0.974524658348188 0.974450386215092 0.974524658348188 0.974598930481283 0.974673202614379 0.97482174688057
10 0.778214717146015 0.756239237155268 0.775927211041715 0.746677975685609 0.719099390855116 0.768846223044696 0.774230858200324 0.692253322024314 0.726990001799162 0.691893489603413 0.749839360526383 0.770041380728404 0.770504022412419 0.78344513840697 0.783766417354204 0.77583725293649 0.775862955252268 0.77696815483075 0.7767882386203 0.777263731462205
11 0.856010016694491 0.901224262659989 0.904006677796327 0.926822481914302 0.927657206455203 0.936978297161937 0.942543127434613 0.948386199220924 0.950612131329994 0.960628825820812 0.96118530884808 0.96118530884808 0.964663327768503 0.965637173066222 0.967167501391208 0.968280467445743 0.968558708959377 0.968976071229828 0.968697829716194 0.970367278797997
12 0.820393047232665 0.792663862731232 0.783600699743179 0.76232925149812 0.892284214836044 0.914151189191201 0.907842334462352 0.912625153534075 0.932221684594484 0.959094800312651 0.972847731417724 0.973834071537574 0.973834071537574 0.973778240964752 0.97370380020099 0.97370380020099 0.97370380020099 0.973759630773812 0.973759630773812 0.973778240964752
13 0.772967635066259 0.76710626911315 0.768189347604485 0.791571100917431 0.793068297655454 0.805014016309888 0.806861620795107 0.806861620795107 0.813360091743119 0.802624872579001 0.808040265035678 0.853561416921509 0.848050458715596 0.782524209989806 0.793227573904179 0.815080275229358 0.824222731906218 0.824891692150866 0.825273955147808 0.825719928644241
14 0.843786464410735 0.801487747957993 0.823949824970828 0.828617269544924 0.784714119019837 0.649066511085181 0.644690781796966 0.657380396732789 0.664527421236873 0.66365227537923 0.684072345390898 0.68742707117853 0.689177362893816 0.692386231038506 0.692094515752625 0.693115519253209 0.692969661610268 0.699824970828471 0.702596266044341 0.703617269544924
15 0.707814833250373 0.722000995520159 0.688651070184171 0.698108511697362 0.723245395719263 0.700099552015928 0.739920358387257 0.739671478347437 0.741662518666003 0.748631159780985 0.747884519661523 0.745395719263315 0.732205077152812 0.729965156794425 0.735938277750124 0.73469387755102 0.731956197112992 0.731956197112992 0.733947237431558 0.73469387755102
16 0.797736987679155 0.821775207442796 0.789288408348001 0.819109881820468 0.872315815941665 0.872617550917777 0.89057078199648 0.913200905204928 0.912748302740759 0.895951722403822 0.900427457882826 0.89917022881569 0.921146592909228 0.921146592909228 0.921196882071914 0.919637918028665 0.920643701282374 0.922504400301735 0.922604978627106 0.9236610510435
17 0.700989486703772 0.725881261595547 0.722789115646258 0.751546072974644 0.738249845392703 0.748763141620284 0.752319109461967 0.758194186765615 0.769016697588126 0.772727272727273 0.777983920841064 0.785250463821892 0.778602350030921 0.781076066790352 0.780766852195424 0.784786641929499 0.786641929499072 0.749690785405071 0.754483611626469 0.751236858379716
18 0.805794534412955 0.798076923076923 0.838942307692308 0.848810728744939 0.856148785425101 0.855136639676113 0.861462550607287 0.867914979757085 0.873481781376518 0.878795546558705 0.878542510121458 0.877024291497976 0.825025303643725 0.827176113360324 0.835905870445344 0.836158906882591 0.836032388663968 0.850581983805668 0.851214574898785 0.850075910931174
19 0.762090798868382 0.942206654991243 0.945170416273744 0.948673043243972 0.957025461403745 0.957160177825677 0.930890475548969 0.931429341236697 0.936144416004311 0.934797251784993 0.921864475279537 0.923076923076923 0.926175400781355 0.927118415734878 0.924019938030446 0.922672773811128 0.924019938030446 0.924019938030446 0.923750505186582 0.923750505186582
20 0.883597883597884 0.882621082621083 0.884086284086284 0.884818884818885 0.885225885225885 0.886202686202686 0.888888888888889 0.867155067155067 0.866910866910867 0.852910052910053 0.847619047619048 0.843956043956044 0.845095645095645 0.845665445665446 0.845828245828246 0.854619454619455 0.860805860805861 0.860643060643061 0.860643060643061 0.866096866096866
