"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30"
1 0.603835978835979 0.603835978835979 0.603835978835979 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587
2 0.836647727272727 0.803977272727273 0.771306818181818 0.836647727272727 0.803977272727273 0.771306818181818 0.705965909090909 0.705965909090909 0.738636363636364 0.705965909090909 0.705965909090909 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364
3 0.506633499170813 0.629975124378109 0.568304311774461 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.568304311774461 0.568304311774461 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813
4 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921
5 0.630144927536232 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.445217391304348 0.445217391304348 0.445217391304348 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348
6 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.722568578553616 0.722568578553616 0.778054862842893 0.778054862842893 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446
7 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858
8 0.62962962962963 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222
9 0.552469135802469 0.537037037037037 0.552469135802469 0.598765432098765 0.598765432098765 0.614197530864198 0.598765432098765 0.598765432098765 0.567901234567901 0.567901234567901 0.598765432098765 0.691358024691358 0.691358024691358 0.691358024691358 0.691358024691358 0.691358024691358 0.70679012345679 0.722222222222222 0.753086419753086 0.753086419753086 0.753086419753086 0.768518518518519 0.768518518518519 0.768518518518519 0.768518518518519 0.768518518518519 0.768518518518519 0.830246913580247 0.830246913580247 0.830246913580247
10 0.654536780013879 0.660934247050659 0.654536780013879 0.680126648160999 0.692921582234559 0.686524115197779 0.705716516308119 0.705716516308119 0.699319049271339 0.712113983344899 0.705716516308119 0.705716516308119 0.712113983344899 0.718511450381679 0.712113983344899 0.673729181124219 0.673729181124219 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999 0.680126648160999
11 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.675984848484849 0.722272727272727 0.722272727272727 0.722272727272727 0.722272727272727 0.768560606060606 0.722272727272727 0.722272727272727 0.768560606060606 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364 0.861136363636364
12 0.836376041029502 0.823789582647156 0.836376041029502 0.81120312426481 0.773443749117772 0.786030207500118 0.823789582647156 0.823789582647156 0.823789582647156 0.836376041029502 0.823789582647156 0.836376041029502 0.848962499411848 0.848962499411848 0.848962499411848 0.861548957794194 0.861548957794194 0.861548957794194 0.861548957794194 0.861548957794194 0.861548957794194 0.861548957794194 0.87413541617654 0.87413541617654 0.87413541617654 0.87413541617654 0.87413541617654 0.87413541617654 0.87413541617654 0.87413541617654
