"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11"
1 0.603100980652001 0.682480784521601 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.8412403922608 0.761860588391201 0.761860588391201 0.8412403922608 0.8412403922608
2 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636
3 0.505711318795431 0.567497403946002 0.567497403946002 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.567497403946002 0.505711318795431 0.505711318795431
4 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273
5 0.629500580720093 0.629500580720093 0.629500580720093 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139
6 0.556109725685786 0.556109725685786 0.83354114713217 0.722568578553616 0.722568578553616 0.722568578553616 0.778054862842893 0.778054862842893 0.889027431421446 0.889027431421446 0.889027431421446
7 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397 0.814779270633397
8 0.62962962962963 0.62962962962963 0.722222222222222 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037
9 0.537037037037037 0.552469135802469 0.567901234567901 0.62962962962963 0.62962962962963 0.753086419753086 0.938271604938272 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568
10 0.641741845940319 0.622549444829979 0.616151977793199 0.680126648160999 0.680126648160999 0.641741845940319 0.686524115197779 0.654536780013879 0.641741845940319 0.641741845940319 0.641741845940319
11 0.62969696969697 0.62969696969697 0.722272727272727 0.768560606060606 0.814848484848485 0.814848484848485 0.768560606060606 0.768560606060606 0.768560606060606 0.861136363636364 0.861136363636364
12 0.72822573196638 0.74057910778609 0.78999261106493 0.67881222868754 0.66645885286783 0.67881222868754 0.86411286598319 0.85175949016348 0.92587974508174 0.88881961762261 0.90117299344232
13 0.618181195175439 0.687602796052632 0.70495819627193 0.670247395833333 0.70495819627193 0.722313596491228 0.722313596491228 0.687602796052632 0.70495819627193 0.722313596491228 0.70495819627193
14 0.653000641848524 0.791800385109114 0.791800385109114 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524
15 0.523900573613767 0.761950286806883 0.761950286806883 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767 0.523900573613767
16 0.755891300984892 0.755891300984892 0.755891300984892 0.701644923425978 0.674521734646522 0.674521734646522 0.674521734646522 0.742329706595163 0.742329706595163 0.76945289537462 0.76945289537462
17 0.595884634845674 0.595884634845674 0.595884634845674 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546
18 0.658180817393698 0.61545341956791 0.700908215219485 0.743635613045273 0.743635613045273 0.743635613045273 0.743635613045273 0.743635613045273 0.743635613045273 0.743635613045273 0.829090408696849
19 0.487569464755777 0.487569464755777 0.487569464755777 0.615677098566832 0.530272009359462 0.615677098566832 0.615677098566832 0.530272009359462 0.572974553963147 0.530272009359462 0.615677098566832
20 0.76173001310616 0.708781127129751 0.76173001310616 0.814678899082569 0.814678899082569 0.814678899082569 0.814678899082569 0.814678899082569 0.735255570117955 0.735255570117955 0.76173001310616
21 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326
22 0.716888322098743 0.737110584805976 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.706777190745127 0.69666605939151 0.69666605939151 0.69666605939151
23 0.666603773584906 0.666603773584906 0.666603773584906 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 1 1
24 0.798874151055199 0.782784083139614 0.790829117097406 0.798874151055199 0.814964218970783 0.814964218970783 0.798874151055199 0.814964218970783 0.814964218970783 0.798874151055199 0.790829117097406
25 1 1 1 1 1 1 1 1 1 1 1
26 0.861026033690659 0.861026033690659 0.861026033690659 0.83323124042879 0.83323124042879 0.83323124042879 0.83323124042879 0.888820826952527 0.861026033690659 0.861026033690659 0.861026033690659
