"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30"
1 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587 0.762301587301587
2 0.803977272727273 0.836647727272727 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.738636363636364 0.771306818181818 0.771306818181818 0.803977272727273 0.803977272727273 0.803977272727273 0.803977272727273 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.771306818181818 0.803977272727273 0.771306818181818
3 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.506633499170813 0.506633499170813 0.506633499170813 0.629975124378109 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461 0.568304311774461
4 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921
5 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.630144927536232 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348 0.445217391304348
6 0.611596009975062 0.611596009975062 0.611596009975062 0.611596009975062 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.83354114713217 0.83354114713217 0.778054862842893 0.778054862842893 0.778054862842893 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.889027431421446 0.83354114713217 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.83354114713217
7 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858
8 0.62962962962963 0.907407407407407 0.814814814814815 0.62962962962963 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222
9 0.521604938271605 0.521604938271605 0.552469135802469 0.552469135802469 0.552469135802469 0.552469135802469 0.537037037037037 0.675925925925926 0.691358024691358 0.691358024691358 0.691358024691358 0.691358024691358 0.70679012345679 0.722222222222222 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.753086419753086 0.753086419753086 0.753086419753086 0.753086419753086 0.753086419753086 0.737654320987654
10 0.648139312977099 0.648139312977099 0.654536780013879 0.667331714087439 0.667331714087439 0.673729181124219 0.654536780013879 0.673729181124219 0.673729181124219 0.673729181124219 0.660934247050659 0.660934247050659 0.641741845940319 0.692921582234559 0.712113983344899 0.699319049271339 0.705716516308119 0.692921582234559 0.686524115197779 0.712113983344899 0.724908917418459 0.724908917418459 0.667331714087439 0.731306384455239 0.731306384455239 0.731306384455239 0.724908917418459 0.724908917418459 0.756896252602359 0.756896252602359
