Molecule Name,PUBCHEM_CID,SMILES,rdkit_smiles,alquist..24.hours.10.uM.screen..1A.and.2B..1A..OD.,alquist..24.hours.10.uM.screen..1A.and.2B..2B..OD.,alquist..24.hours.1.uM.screen..1A.and.2B..1A..OD.,alquist..24.hours.1.uM.screen..1A.and.2B..2B..OD.,alquist..KBA01..1A...negative.control....,alquist..KBA01..2B...negative.control....,hoskins..AFUMSF3B1..OD600...negative.control....,hull..10h.Germination.FDA.4.plates..NanoLuc...negative.control....,hull..10h.Germination.FDA.4.plates..OD600...negative.control....,hull..12h.Yeast.9.30.16..OD600...negative.control....,hull..22h.Germination.10.6.16..OD600...inhibition....,hull..22h.Germination.10.6.16..OD600...negative.control....,hull..22h.Germination.9.30.16..OD600...inhibition....,hull..22h.Germination.9.30.16..OD600...negative.control....,hull..OD600.measurement..OD600,hull..Selleck.FDA..Nano.Glo..LUC.,hull..Selleck.FDA.for.yeast.construct..Nano.Glo..LUC.,hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..Nano.Glo..LUC.,hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..OD600,keck..AlphaScreen.KpnDnaG..Intensity..Counts.,keck..AlphaScreen.KpnPriA..Intensity..Counts.,keck..FDA.primary.screen..OD600...negative.control....,keck..FP.KpnDnaG..FP..mP.,keck..FP.KpnPriA..FP..mP.,keck..KpnPriA.Alphascreen...AV..Intensity...negative.control....,senes..Alpha.screen.raw..Alpha..Rlu.,xing..MTDH.SND1.for.FDA..RATIO
SMSSF-0066222,71188,CCN1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0066224,5881,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109003,32798,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109004,3001055,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109010,6436,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109013,13791,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@]12C,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109014,3121,CCCC(CCC)C(O)=O,CCCC(CCC)C(=O)O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109018,681,NCCC1=CC=C(O)C(O)=C1,NCCc1ccc(O)c(O)c1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109019,2130,NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109022,2722,OC1=C(Cl)C=C(Cl)C2=CC=CN=C12,Oc1c(Cl)cc(Cl)c2cccnc12,1,1,0,1,,,0,1,,1,,1,,1,,,,,1,0,0,1,0,0,0,0,0
SMSSF-0109024,137,NCC(=O)CCC(O)=O,NCC(=O)CCC(=O)O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109025,3672,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109026,5320,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,CC(=O)NS(=O)(=O)c1ccc(N)cc1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109027,6215,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109029,2478,CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109032,21704,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109033,3779,CC(C)NCC(O)C1=CC=C(O)C(O)=C1,CC(C)NCC(O)c1ccc(O)c(O)c1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109038,135401907,OC1=C2C=NN=C2N=CN1,Oc1[nH]cnc2nncc1-2,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109046,4991,CN(C)C(=O)OC1=CC=C[N+](C)=C1,CN(C)C(=O)Oc1ccc[n+](C)c1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109048,3385,OC1=NC=C(F)C(O)=N1,Oc1ncc(F)c(O)n1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109049,5834,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109050,6279,C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109054,60606,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=CC=CC=C1Cl,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109059,838,CNCC(O)C1=CC=C(O)C(O)=C1,CNCC(O)c1ccc(O)c(O)c1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109066,4077,[O-]S(=O)(=O)CCS,O=S(=O)([O-])CCS,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109068,9444,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109071,657237,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109073,36339,CCOC(=O)C1=CN=CN1C(C)C1=CC=CC=C1,CCOC(=O)c1cncn1C(C)c1ccccc1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109076,3365,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0,0,0,0,,,0,0,,0,,1,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109079,187,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109080,5284513,COC1=CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1C,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109081,446155,CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109085,2662,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109088,667490,SC1=C2N=CN=C2N=CN1,Sc1[nH]cnc2ncnc1-2,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109091,5734,NS(=O)(=O)CC1=NOC2=CC=CC=C12,NS(=O)(=O)Cc1noc2ccccc12,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109092,5743,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109096,5745,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109098,5379,COC1=C(N2CCNC(C)C2)C(F)=CC2=C1N(C=C(C(O)=O)C2=O)C1CC1,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109103,5487,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,Clc1ccc2nsnc2c1NC1=NCCN1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
SMSSF-0109104,2907,ClCCN(CCCl)P1(=O)NCCCO1,O=P1(N(CCCl)CCCl)NCCCO1,0,0,0,0,,,0,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0
