"Assay" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.738359201773836 0.843015521064302 0.843015521064302 0.843015521064302 0.843015521064302 0.85609756097561 0.843015521064302 0.85609756097561 0.85609756097561 0.85609756097561 0.85609756097561 0.869179600886918 0.869179600886918 0.869179600886918 0.869179600886918
2 NA 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 NA 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936
4 NA 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.473445595854922 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936 0.569182760244936
5 0.722389558232932 0.775267737617135 0.775267737617135 0.788487282463186 0.775267737617135 0.788487282463186 0.762048192771084 0.748828647925033 0.748828647925033 0.748828647925033 0.735609103078983 0.722389558232932 0.722389558232932 0.722389558232932 0.722389558232932
6 0.888865081065638 0.888865081065638 0.888865081065638 0.874973216198843 0.874973216198843 0.874973216198843 0.874973216198843 0.874973216198843 0.874973216198843 0.874973216198843 0.861081351332048 0.861081351332048 0.861081351332048 0.861081351332048 0.861081351332048
7 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406 0.736716621253406
8 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.473829201101928 0.736914600550964 0.736914600550964 0.736914600550964 0.736914600550964
9 0.768421052631579 0.768421052631579 0.753947368421053 0.753947368421053 0.753947368421053 0.753947368421053 0.753947368421053 0.753947368421053 0.739473684210526 0.739473684210526 0.753947368421053 0.739473684210526 0.739473684210526 0.739473684210526 0.739473684210526
10 0.798411122144985 0.798411122144985 0.798411122144985 0.798411122144985 0.798411122144985 0.798411122144985 0.798411122144985 0.784011916583913 0.784011916583913 0.784011916583913 0.841608738828203 0.841608738828203 0.856007944389275 0.841608738828203 0.841608738828203
11 NA NA 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368 0.802631578947368
12 0.846391690682037 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.824447646493756 0.846391690682037 0.846391690682037 0.824447646493756 0.824447646493756
13 0.880858734841036 0.880858734841036 0.880858734841036 0.880858734841036 0.880858734841036 0.880858734841036 0.865966076696165 0.851073418551295 0.865966076696165 0.865966076696165 0.836180760406424 0.821288102261554 0.821288102261554 0.821288102261554 0.821288102261554
14 0.810024154589372 0.810024154589372 0.810024154589372 0.810024154589372 0.810024154589372 0.810024154589372 0.780797101449275 0.766183574879227 0.780797101449275 0.766183574879227 0.766183574879227 0.810024154589372 0.810024154589372 0.766183574879227 0.751570048309179
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.696813034331498 0.696813034331498 0.696813034331498 0.728727451770288 0.872342330244841 0.872342330244841 0.872342330244841 0.888299538964236 0.888299538964236 0.888299538964236 0.888299538964236 0.840427912806052 0.824470704086657
17 0.65921568627451 0.65921568627451 0.65921568627451 0.690196078431373 0.690196078431373 0.65921568627451 0.65921568627451 0.65921568627451 0.628235294117647 0.628235294117647 0.628235294117647 0.597254901960784 0.690196078431373 0.65921568627451 0.628235294117647
18 0.912326388888889 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778 0.824652777777778
19 0.861613958560523 0.861613958560523 0.861613958560523 0.861613958560523 0.861613958560523 0.861613958560523 0.861613958560523 0.876990185387132 0.876990185387132 0.861613958560523 0.861613958560523 0.876990185387132 0.876990185387132 0.876990185387132 0.861613958560523
20 NA 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724 0.473723723723724
21 NA 0.555758241758242 0.555758241758242 0.555758241758242 0.555758241758242 0.601714285714286 0.601714285714286 0.601714285714286 0.601714285714286 0.601714285714286 0.601714285714286 0.601714285714286 0.586395604395604 0.586395604395604 0.571076923076923
22 NA 0.473363774733638 0.473363774733638 0.473363774733638 0.473363774733638 0.473363774733638 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691 0.57869101978691
23 NA 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564 0.485632962862564
24 NA 0.597799730579255 0.582330489447688 0.582330489447688 0.597799730579255 0.814369106421194 0.829838347552762 0.829838347552762 0.829838347552762 0.829838347552762 0.829838347552762 0.829838347552762 0.814369106421194 0.814369106421194 0.829838347552762
25 NA 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374 0.579236641221374
26 NA NA 0.836838116889268 0.836838116889268 0.836838116889268 0.885786681822487 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414 0.869470493511414
27 NA 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963 0.605504587155963
28 0.857497928748964 0.857497928748964 0.857497928748964 0.857497928748964 0.857497928748964 0.968332873055325 0.968332873055325 0.809997238331952 0.984166436527663 0.984166436527663 0.968332873055325 0.952499309582988 0.952499309582988 0.952499309582988 0.984166436527663
29 NA NA 0.797648587971169 0.797648587971169 0.797648587971169 0.757178305565402 0.757178305565402 0.757178305565402 0.757178305565402 0.797648587971169 0.797648587971169 0.797648587971169 0.797648587971169 0.797648587971169 0.797648587971169
30 0.844531321029184 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.891171924720429 0.906718792617511 0.906718792617511 0.906718792617511
31 0.949946257572797 0.949946257572797 0.949946257572797 0.949946257572797 0.949946257572797 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932 0.983315419190932
32 NA 0.504127966976264 0.504127966976264 0.504127966976264 0.504127966976264 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324 0.48813209494324
33 NA 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251 0.64917695473251
34 NA 0.498824221046443 0.498824221046443 0.498824221046443 0.498824221046443 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477 0.574000587889477
35 0.898670766789009 0.898670766789009 0.898670766789009 0.898670766789009 0.898670766789009 1 1 1 1 1 1 1 1 1 1
36 0.932773109243697 0.932773109243697 0.932773109243697 0.932773109243697 0.932773109243697 1 1 1 1 1 1 1 1 1 1
37 NA 0.561369509043928 0.561369509043928 0.561369509043928 0.561369509043928 0.649095607235142 0.649095607235142 0.649095607235142 0.649095607235142 0.649095607235142 0.649095607235142 0.649095607235142 0.619853574504737 0.619853574504737 0.619853574504737
38 NA 0.57230201863354 0.605201863354037 0.605201863354037 0.605201863354037 0.605201863354037 0.605201863354037 0.605201863354037 0.605201863354037 0.769701086956522 0.769701086956522 0.769701086956522 0.638101708074534 0.671001552795031 0.671001552795031
39 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 1 1 1 1 1 1 1 1 1 1
40 0.886864973262032 0.886864973262032 0.886864973262032 0.886864973262032 0.886864973262032 0.903027119938885 0.903027119938885 0.903027119938885 0.919189266615737 0.919189266615737 0.919189266615737 0.919189266615737 0.919189266615737 0.93535141329259 0.951513559969442
41 0.907091808686091 0.907091808686091 0.907091808686091 0.907091808686091 0.907091808686091 0.907091808686091 0.907091808686091 0.814183617372183 0.845153014476819 0.845153014476819 0.814183617372183 0.814183617372183 0.845153014476819 0.845153014476819 0.845153014476819
42 NA NA 0.690281728916215 0.690281728916215 0.690281728916215 0.674795815362026 0.705767642470405 0.705767642470405 0.705767642470405 0.705767642470405 0.705767642470405 0.705767642470405 0.752225383132972 0.752225383132972 0.767711296687162
43 NA NA 0.561232449297972 0.561232449297972 0.561232449297972 0.561232449297972 0.517355694227769 0.517355694227769 0.517355694227769 0.517355694227769 0.517355694227769 0.517355694227769 0.473478939157566 0.517355694227769 0.517355694227769
44 NA 0.67375069149917 0.67375069149917 0.67375069149917 0.67375069149917 0.611607966070441 0.596072284713258 0.596072284713258 0.596072284713258 0.642679328784805 0.642679328784805 0.642679328784805 0.627143647427623 0.627143647427623 0.627143647427623
45 NA 0.515524256651017 0.494460093896714 0.494460093896714 0.494460093896714 0.494460093896714 0.515524256651017 0.515524256651017 0.515524256651017 0.536588419405321 0.536588419405321 0.536588419405321 0.557652582159624 0.536588419405321 0.536588419405321
46 NA 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947 0.540040535444947
47 NA 0.817699541837473 0.777188328912467 0.777188328912467 0.756932722449964 0.79744393537497 0.777188328912467 0.777188328912467 0.777188328912467 0.817699541837473 0.817699541837473 0.817699541837473 0.777188328912467 0.777188328912467 0.777188328912467
48 0.946757300042319 1 1 1 1 1 1 1 1 1 1 1 1 1 1
49 NA NA 0.50425453200148 0.50425453200148 0.50425453200148 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526 0.488762486126526
50 NA NA 0.737028301886792 0.737028301886792 0.737028301886792 0.605542452830189 0.605542452830189 0.605542452830189 0.605542452830189 0.605542452830189 0.605542452830189 0.605542452830189 0.474056603773585 0.605542452830189 0.605542452830189
51 0.914533190249885 0.914533190249885 0.914533190249885 0.914533190249885 0.914533190249885 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954 0.965813276099954
52 0.96572195550049 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 0.982860977750245 1
53 NA 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809 0.684235668789809
54 NA NA 0.593073593073593 0.593073593073593 0.593073593073593 0.660894660894661 0.813492063492063 0.813492063492063 0.813492063492063 0.813492063492063 0.813492063492063 0.813492063492063 0.830447330447331 0.847402597402597 0.915223665223665
55 NA 0.838938659617173 0.855044793655456 0.855044793655456 0.855044793655456 0.871150927693739 0.871150927693739 0.871150927693739 0.871150927693739 0.871150927693739 0.871150927693739 0.871150927693739 0.871150927693739 0.855044793655456 0.855044793655456
56 NA 0.661470391521325 0.661470391521325 0.661470391521325 0.678396871945259 0.830735195760663 0.847661676184596 0.847661676184596 0.847661676184596 0.847661676184596 0.847661676184596 0.847661676184596 0.847661676184596 0.763029274064928 0.72917631321706
57 NA 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846 0.736778846153846
58 NA NA 0.578846153846154 0.578846153846154 0.578846153846154 0.578846153846154 0.631490384615385 0.631490384615385 0.631490384615385 0.631490384615385 0.631490384615385 0.631490384615385 0.631490384615385 0.631490384615385 0.605168269230769
59 NA 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692 0.473557692307692
60 NA 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.592398902293792 0.66033241857816 0.643349039507068
61 0.934501522639908 0.967250761319954 0.967250761319954 0.967250761319954 0.967250761319954 0.967250761319954 0.967250761319954 0.967250761319954 0.983625380659977 0.967250761319954 0.967250761319954 0.983625380659977 0.983625380659977 0.983625380659977 0.983625380659977
62 NA 0.504444864762625 0.504444864762625 0.504444864762625 0.504444864762625 0.504444864762625 0.535417060714961 0.535417060714961 0.535417060714961 0.535417060714961 0.535417060714961 0.535417060714961 0.535417060714961 0.535417060714961 0.566389256667297
63 0.931674750951859 1 1 1 1 1 1 1 0.982918687737965 0.982918687737965 0.982918687737965 1 1 1 1
64 0.878522528259831 0.878522528259831 0.878522528259831 0.878522528259831 0.878522528259831 0.878522528259831 0.930584301862761 0.895876452794141 0.930584301862761 0.930584301862761 0.94793822639707 0.930584301862761 0.930584301862761 0.94793822639707 0.94793822639707
65 NA 0.739046391752577 0.756443298969072 0.756443298969072 0.756443298969072 0.773840206185567 0.773840206185567 0.773840206185567 0.773840206185567 0.756443298969072 0.756443298969072 0.756443298969072 0.773840206185567 0.756443298969072 0.756443298969072
66 NA NA 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481 0.605519480519481
