"Assay" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14"
1 0.940497448979592 0.930580357142857 0.930580357142857 0.940497448979592 0.940497448979592 0.940497448979592 0.930580357142857 0.930580357142857 0.930580357142857 0.930580357142857 0.930580357142857 0.940497448979592 0.940497448979592 0.940497448979592
2 NA 1 1 1 1 1 1 1 1 1 1 1 1 1
3 NA 0.596103896103896 0.596103896103896 0.596103896103896 0.596103896103896 0.596103896103896 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.596103896103896
4 NA 0.596103896103896 0.596103896103896 0.596103896103896 0.596103896103896 0.596103896103896 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.646590909090909 0.596103896103896
5 0.948338870431894 0.92250830564784 0.92250830564784 0.935423588039867 0.935423588039867 0.935423588039867 0.948338870431894 0.974169435215947 0.974169435215947 0.96125415282392 0.909593023255814 0.857931893687708 0.857931893687708 0.857931893687708
6 0.96297619047619 0.96297619047619 0.96297619047619 0.96297619047619 0.96297619047619 0.953720238095238 0.953720238095238 0.96297619047619 0.96297619047619 0.96297619047619 0.953720238095238 0.907440476190476 0.870416666666667 0.851904761904762
7 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 1 1 1 1
8 0.444642857142857 0.722321428571429 0.444642857142857 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429 0.722321428571429
9 0.79878364389234 0.79878364389234 0.79878364389234 0.806832298136646 0.806832298136646 0.790734989648033 0.726345755693582 0.726345755693582 0.726345755693582 0.726345755693582 0.710248447204969 0.710248447204969 0.710248447204969 0.710248447204969
10 0.820576923076923 0.820576923076923 0.820576923076923 0.837664835164835 0.837664835164835 0.820576923076923 0.760769230769231 0.777857142857143 0.786401098901099 0.769313186813187 0.829120879120879 0.837664835164835 0.829120879120879 0.837664835164835
11 NA NA 0.861160714285714 0.861160714285714 0.861160714285714 0.861160714285714 0.826450892857143 0.826450892857143 0.826450892857143 0.826450892857143 0.826450892857143 0.826450892857143 0.826450892857143 0.826450892857143
12 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.884300595238095 0.907440476190476
13 0.897995626822157 0.897995626822157 0.90932944606414 0.90932944606414 0.90932944606414 0.897995626822157 0.852660349854227 0.875327988338192 0.875327988338192 0.875327988338192 0.841326530612245 0.829992711370262 0.829992711370262 0.784657434402332
14 0.892013888888889 0.892013888888889 0.892013888888889 0.892013888888889 0.892013888888889 0.876587301587302 0.861160714285714 0.876587301587302 0.876587301587302 0.892013888888889 0.845734126984127 0.892013888888889 0.892013888888889 0.876587301587302
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.764393939393939 0.764393939393939 0.764393939393939 0.781222943722944 0.932683982683983 0.932683982683983 0.932683982683983 0.966341991341991 0.966341991341991 0.966341991341991 0.966341991341991 0.966341991341991
17 0.640651260504202 0.738655462184874 0.705987394957983 0.738655462184874 0.673319327731092 0.673319327731092 0.673319327731092 0.673319327731092 0.673319327731092 0.705987394957983 0.705987394957983 0.771323529411765 0.771323529411765 0.803991596638655
18 0.953720238095238 0.907440476190476 0.907440476190476 0.907440476190476 0.907440476190476 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952 0.814880952380952
19 0.966678571428571 0.966678571428571 0.966678571428571 0.966678571428571 0.966678571428571 0.955571428571429 0.955571428571429 0.977785714285714 0.966678571428571 0.966678571428571 0.955571428571429 0.933357142857143 0.888928571428572 0.888928571428572
20 NA 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857 0.444642857142857
