"cid","clust"
"CID_6918837",3
"CID_7019",2
"CID_71226662",1
"CID_71329",3
"CID_71384",6
"CID_71481097",1
"CID_71496458",1
"CID_71657455",1
"CID_71731823",1
"CID_72435",4
"CID_73051434",4
"CID_8249",3
"CID_8369",3
"CID_8434",3
"CID_864",16
"CID_8739",2
"CID_89105",4
"CID_896",3
"CID_89683805",2
"CID_9015",3
"CID_9212",3
"CID_936",2
"CID_9403",6
"CID_9444",4
"CID_9553856",4
"CID_9571836",2
"CID_97226",4
"CID_9796068",2
"CID_9823820",1
"CID_9843750",4
"CID_9854073",4
"CID_9865515",2
"CID_9869776",3
"CID_9877265",4
"CID_9878",6
"CID_9883029",1
"CID_9888590",3
"CID_9903",12
"CID_9911830",1
"CID_9915743",1
"CID_9926791",4
"CID_9931954",1
"CID_9933475",1
"CID_10114",6
"CID_10208",3
"CID_10212",3
"CID_1046",2
"CID_104762",4
"CID_10631",6
"CID_107751",3
"CID_107985",6
"CID_110635",4
"CID_11289",3
"CID_119",16
"CID_119607",2
"CID_12035",16
"CID_124087",5
"CID_13109",6
"CID_132441",4
"CID_1349907",5
"CID_135398513",4
"CID_135398641",4
"CID_135398737",5
"CID_135398739",4
"CID_135398740",4
"CID_135398745",5
"CID_13791",6
"CID_14296",2
"CID_149096",4
"CID_150311",4
"CID_1547484",5
"CID_1549000",5
"CID_15723",4
"CID_158781",3
"CID_1646",9
"CID_16490",6
"CID_169870",6
"CID_1727",2
"CID_1775",3
"CID_1833",3
"CID_1892",2
"CID_1981",5
"CID_1986",16
"CID_2018",16
"CID_20279",1
"CID_2092",4
"CID_21307",3
"CID_2159",4
"CID_2161",3
"CID_2196",4
"CID_2197",3
"CID_222757",6
"CID_223997",6
"CID_2249",3
"CID_2266",16
"CID_2315",3
"CID_2343",5
"CID_23667630",4
"CID_236702",6
"CID_2375",3
"CID_2378",5
"CID_24066",4
"CID_2435",1
"CID_2466",3
"CID_2471",3
"CID_247839",6
"CID_2554",3
"CID_2585",3
"CID_26248",3
"CID_2720",5
"CID_2724385",6
"CID_2727",5
"CID_2732",5
"CID_2733",5
"CID_27447",4
"CID_2754",4
"CID_2761171",2
"CID_2762",4
"CID_2771",4
"CID_28061",2
"CID_2972",3
"CID_3019",5
"CID_3034010",18
"CID_3059",3
"CID_31401",12
"CID_31404",3
"CID_3169",5
"CID_3182",2
"CID_32798",6
"CID_3295",2
"CID_3324",2
"CID_3331",3
"CID_3332",3
"CID_3333",3
"CID_3335",3
"CID_3339",5
"CID_33613",4
"CID_3371",3
"CID_3373",1
"CID_3374",4
"CID_338",3
"CID_3397",3
"CID_34312",3
"CID_3446",16
"CID_3463",3
"CID_3478",4
"CID_3488",5
"CID_35370",4
"CID_36339",3
"CID_3647",1
"CID_3676",3
"CID_3702",5
"CID_3715",5
"CID_3747",3
"CID_3749",5
"CID_37542",8
"CID_3767",2
"CID_3825",3
"CID_3878",5
"CID_3883",3
"CID_38853",3
"CID_39042",5
"CID_39147",3
"CID_39562",5
"CID_4021",3
"CID_4038",3
"CID_4044",3
"CID_4100",2
"CID_4107",3
"CID_4173",2
"CID_41781",2
"CID_4197",11
"CID_4235",5
"CID_439501",6
"CID_4409",3
"CID_44093",7
"CID_441314",19
"CID_441401",4
"CID_4418",5
"CID_443936",6
"CID_443953",6
"CID_443955",4
"CID_4472",2
"CID_4488",2
"CID_4495",3
"CID_4507",4
"CID_451417",16
"CID_4539",4
"CID_456201",11
"CID_4594",3
"CID_4740",2
"CID_47528",2
"CID_4760",3
"CID_4764",3
"CID_4781",3
"CID_4826",2
"CID_4828",3
"CID_4831",4
"CID_4843",7
"CID_4891",4
"CID_4909",3
"CID_4911",3
"CID_4917",5
"CID_493591",8
"CID_4977",2
"CID_50248",5
"CID_5070",2
"CID_5092",4
"CID_5094",2
"CID_51039",4
"CID_5152",3
"CID_5215",2
"CID_525",16
"CID_5280453",6
"CID_5280805",4
"CID_5281643",4
"CID_5281718",4
"CID_5282230",3
"CID_5284583",7
"CID_5284594",6
"CID_5284627",6
"CID_5311067",6
"CID_5311221",4
"CID_5315",2
"CID_5319",2
"CID_5320",2
"CID_5323",2
"CID_5323714",4
"CID_5324",2
"CID_5325",2
"CID_5326",2
"CID_5328",2
"CID_5329",2
"CID_5330",2
"CID_5332",2
"CID_5336",2
"CID_5342",3
"CID_5344",2
"CID_5401",4
"CID_54677470",3
"CID_54677971",2
"CID_54677972",3
"CID_5479",2
"CID_5505",2
"CID_5510",3
"CID_55245",6
"CID_5531",11
"CID_5546",2
"CID_5560",5
"CID_5578",2
"CID_5597",4
"CID_5610",3
"CID_5707",5
"CID_5717",4
"CID_5744",6
"CID_5753",6
"CID_5756",6
"CID_5757",6
"CID_5775",3
"CID_5790",4
"CID_5803",3
"CID_5834",6
"CID_5870",6
"CID_5879",6
"CID_5920",3
"CID_5952",6
"CID_6029",4
"CID_60464",4
"CID_60490",3
"CID_60795",5
"CID_60825",4
"CID_60835",3
"CID_60846",3
"CID_60854",5
"CID_60961",4
"CID_610479",3
"CID_6234",6
"CID_6238",6
"CID_6253",4
"CID_6256",4
"CID_6271",3
"CID_6279",6
"CID_6291",6
"CID_638278",3
"CID_64139",5
"CID_6436",6
"CID_65663",8
"CID_657237",4
"CID_657272",8
"CID_657298",3
"CID_65944",4
"CID_65957",4
"CID_65981",3
"CID_6604200",4
"CID_66414",6
"CID_666418",2
"CID_6674",12
"CID_667493",2
"CID_6872",3
"CID_688272",4
"CID_7108",3
"CID_71188",4
"CID_71616",11
"CID_71651",3
"CID_7172",3
"CID_71815",2
"CID_7184",3
"CID_72300",3
"CID_774",2
"CID_83213",2
"CID_84029",6
"CID_8593",3
"CID_9046",6
"CID_92722",4
"CID_9324",6
"CID_938",2
"CID_941651",5
"CID_9642",6
"CID_107970",3
"CID_135400182",3
"CID_24872560",1
"CID_2794",5
"CID_3038522",1
"CID_72099",3
"CID_4649",2
"CID_114917",3
"CID_131411",3
"CID_1548887",3
"CID_1549120",3
"CID_3025",3
"CID_4487",2
"CID_4619",3
"CID_5281792",3
"CID_5282367",3
"CID_5335",2
"CID_54705095",4
"CID_5745",6
"CID_6249",4
"CID_6305",3
"CID_6634",2
"CID_667467",5
"CID_72",3
"CID_1030",8
"CID_10635",6
"CID_10680",3
"CID_11005",16
"CID_114850",4
"CID_129228",2
"CID_130313",7
"CID_13456556",2
"CID_135398744",1
"CID_135398748",4
"CID_137",16
"CID_13712",4
"CID_13789",6
"CID_144",3
"CID_14720269",3
"CID_15376",4
"CID_15443",5
"CID_1549517",17
"CID_16231",16
"CID_17134",2
"CID_171548",16
"CID_197033",1
"CID_1989",4
"CID_21109",5
"CID_2148",16
"CID_2151",3
"CID_2165",5
"CID_2176",3
"CID_2206",3
"CID_221493",12
"CID_222285",8
"CID_22571",3
"CID_2337",2
"CID_2345",3
"CID_23667628",1
"CID_243",3
"CID_2537",6
"CID_2678",5
"CID_2713",5
"CID_2723",3
"CID_2741",3
"CID_2763",4
"CID_2797",5
"CID_2817",5
"CID_2942",2
"CID_2998",3
"CID_3038",5
"CID_3092",2
"CID_311",16
"CID_3114",3
"CID_3157",4
"CID_31593",2
"CID_3282",3
"CID_3292",4
"CID_3325",2
"CID_3348",4
"CID_3365",11
"CID_3440",3
"CID_3475",4
"CID_3671",3
"CID_3693427",2
"CID_37175",5
"CID_3735",16
"CID_3736",8
"CID_3759",3
"CID_3760",5
"CID_3893",16
"CID_4011",4
"CID_40632",3
"CID_4101",15
"CID_4165",2
"CID_4170",5
"CID_4174",2
"CID_4205",5
"CID_4238",4
"CID_4284",3
"CID_43231",2
"CID_439503",4
"CID_4410",4
"CID_444",3
"CID_444305",16
"CID_4449",5
"CID_4493",4
"CID_4595",5
"CID_460",3
"CID_4621",3
"CID_4633",3
"CID_464",3
"CID_4678",8
"CID_4754",3
"CID_4806",2
"CID_4810",1
"CID_4943",3
"CID_5002",5
"CID_50942",4
"CID_5280531",17
"CID_5281708",3
"CID_5284607",3
"CID_5333",2
"CID_5339",2
"CID_5355",4
"CID_5358",3
"CID_5359",3
"CID_5362119",4
"CID_5379",4
"CID_5468",3
"CID_5472",5
"CID_54766",3
"CID_5593",3
"CID_564",16
"CID_56959",3
"CID_5780",8
"CID_588",6
"CID_597",2
"CID_6018",4
"CID_6054",3
"CID_6103",5
"CID_6199",3
"CID_6301",5
"CID_638024",4
"CID_66065",4
"CID_6623",3
"CID_6839",4
"CID_6989",3
"CID_70846",5
"CID_7175",3
"CID_71771",3
"CID_72894",2
"CID_736186",3
"CID_8569",3
"CID_8842",8
"CID_8955",6
"CID_904",3
"CID_9047",2
"CID_91610",4
"CID_942",5
"CID_158758",4
"CID_16258",3
"CID_2474",4
"CID_2973",16
"CID_3547",1
"CID_3752",5
"CID_4091",9
"CID_4121",5
"CID_5282138",4
"CID_5282440",5
"CID_5362124",4
"CID_5417",4
"CID_54746",4
"CID_54841",3
"CID_5656",3
"CID_5734",2
"CID_667477",3
"CID_68602",2
"CID_7436",3
"CID_941361",5
"CID_10133",12
"CID_10140",12
"CID_10237",4
"CID_10393",3
"CID_10621",4
"CID_114811",3
"CID_119031",16
"CID_119182",1
"CID_12560",6
"CID_134601",3
"CID_135398742",4
"CID_135511839",3
"CID_151075",3
"CID_151166",3
"CID_15459",4
"CID_1548943",3
"CID_15922990",6
"CID_16666",12
"CID_1732",3
"CID_18343",4
"CID_2005",16
"CID_208902",4
"CID_214348",3
"CID_21700",6
"CID_21704",4
"CID_2372",3
"CID_2541",3
"CID_2581",5
"CID_2717",5
"CID_27200",3
"CID_2733526",3
"CID_28417",6
"CID_3000226",6
"CID_3033825",4
"CID_30751",4
"CID_31553",4
"CID_3515",3
"CID_36462",4
"CID_439268",8
"CID_439280",3
"CID_440936",4
"CID_441074",4
"CID_441140",6
"CID_441336",6
"CID_441383",11
"CID_442435",6
"CID_443604",6
"CID_443879",3
"CID_443943",6
"CID_444020",8
"CID_444031",4
"CID_445063",8
"CID_446596",8
"CID_451668",4
"CID_47965",4
"CID_51040",3
"CID_5154",1
"CID_5273569",3
"CID_5280793",6
"CID_5281565",4
"CID_5281613",4
"CID_5281767",3
"CID_5284513",3
"CID_5311047",1
"CID_5314",10
"CID_5353831",2
"CID_5362065",4
"CID_5362129",4
"CID_5381",3
"CID_5447130",2
"CID_54690031",5
"CID_55185",6
"CID_5541",10
"CID_5566",5
"CID_5639",5
"CID_5742832",4
"CID_5755",6
"CID_5833",6
"CID_5905",4
"CID_6036",8
"CID_60606",5
"CID_60613",2
"CID_60871",2
"CID_60953",4
"CID_6175",4
"CID_6230",6
"CID_6251",8
"CID_6437380",5
"CID_6526396",4
"CID_656516",4
"CID_65784",7
"CID_68617",5
"CID_6883",19
"CID_68844",4
"CID_6915944",4
"CID_6918456",4
"CID_72139",3
"CID_72281",4
"CID_77991",3
"CID_86472",18
"CID_89594",5
"CID_92727",4
"CID_9415",6
"CID_9782",6
