"ids" "nef_50" "nef_100" "nef_200" "nef_1000" "nef_500"
1 NA NA NA NA NA
2 NA NA NA NA NA
3 0.67309476499294 0.653796244858355 0.639176153847306 0.659059477622333 0.648533012094377
4 NA NA NA NA NA
5 NA NA NA NA NA
6 0.668086564414175 0.658919795192012 0.65253083482505 0.643780736931167 0.642773781221156
7 NA NA NA NA NA
8 NA NA NA NA NA
9 0.720264783983496 0.755558479462214 0.780394783687978 0.899347609190323 0.882354348404274
10 NA NA NA NA NA
11 NA NA NA NA NA
12 NA NA NA NA NA
13 0.92622204547088 0.936888737691958 0.939555410747227 0.953777667041997 0.947555429913035
14 0.595961286418394 0.586498962053106 0.56858903979602 0.58994903206297 0.581831220275055
15 NA NA NA NA NA
16 NA NA NA NA NA
17 NA NA NA NA NA
18 NA NA NA NA NA
19 0.48850311279866 0.495974415645421 0.509065159949575 0.578861177141967 0.542654094115356
20 NA NA NA NA NA
21 0.651711507898684 0.651136181048217 0.653149825024851 0.709172277089052 0.64185903558444
22 0.840000392782619 0.838990294252206 0.851717535735407 0.865858915161186 0.862828619569947
23 0.828758999494191 0.841177239988886 0.862745762953358 0.85490266369355 0.856209846903518
24 NA NA NA NA NA
25 NA NA NA NA NA
26 NA NA NA NA NA
27 NA NA NA NA NA
28 NA NA NA NA NA
29 NA NA NA NA NA
30 NA NA NA NA NA
31 NA NA NA NA NA
32 NA NA NA NA NA
33 NA NA NA NA NA
34 NA NA NA NA NA
35 0.949269199704372 0.978160609139975 0.97195592612968 0.99081597580855 0.990802309105885
36 NA NA NA NA NA
37 NA NA NA NA NA
38 NA NA NA NA NA
39 NA NA NA NA NA
40 NA NA NA NA NA
41 NA NA NA NA NA
42 NA NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 0.657555570127119 0.659945395084529 0.718758404402272 0.745877088827524 0.744995476571894
47 NA NA NA NA NA
48 NA NA NA NA NA
49 NA NA NA NA NA
50 0.573053683074079 0.609240046351183 0.575008118033685 0.638546798570474 0.619139259421587
51 NA NA NA NA NA
52 NA NA NA NA NA
53 NA NA NA NA NA
54 NA NA NA NA NA
55 NA NA NA NA NA
56 0.690772309223877 0.676328008576789 0.671028916031703 0.74760935023165 0.695216709422981
57 NA NA NA NA NA
58 0.64045513917882 0.676083613081437 0.706788637742609 0.815769852032967 0.781771439027855
59 NA NA NA NA NA
60 NA NA NA NA NA
61 0.709125067096081 0.712989801395599 0.733333333333333 0.774127750939345 0.738271604938272
62 NA NA NA NA NA
63 NA NA NA NA NA
64 NA NA NA NA NA
65 NA NA NA NA NA
66 NA NA NA NA NA
67 NA NA NA NA NA
68 0.544040580246214 0.555017876904996 0.558498483162658 0.566798390392469 0.565995173563777
69 NA NA NA NA NA
70 0.585188205314889 0.604407284605319 0.613216029280099 0.614817619220969 0.611013843111404
71 NA NA NA NA NA
72 0.66383195701634 0.664703423103142 0.652285031366221 0.642698904411405 0.634637843108492
73 NA NA NA NA NA
74 NA NA NA NA NA
75 NA NA NA NA NA
76 0.5596057680469 0.53465425348865 0.530755579338924 0.504556489052762 0.545180673692912
77 0.452634248646539 0.449125493830171 0.453803833585329 0.45887203498675 0.459651758279276
78 NA NA NA NA NA
79 0.632584622405914 0.672706742570395 0.682569397631747 0.770158168325545 0.760757169458554
80 NA NA NA NA NA
81 NA NA NA NA NA
82 0.653194444444444 0.626527777777778 0.591944444444444 0.545972222222222 0.567083333333333
83 NA NA NA NA NA
84 0.478779536020827 0.47829040818332 0.483167085727413 0.505623163759795 0.490102480438325
85 0.505191063381564 0.508153991145747 0.518524238320385 0.517536595732324 0.518524238320385
86 NA NA NA NA NA
87 0.662748159261889 0.665780811473178 0.682408111528173 0.673571590429763 0.677911420318332
88 NA NA NA NA NA
89 NA NA NA NA NA
90 0.777875548388444 0.826610500278778 0.888670451673304 0.930734678503206 0.911577935388846
91 0.720990755954228 0.732688615095893 0.731285170604104 0.734286152974844 0.730911914090331
92 NA NA NA NA NA
93 NA NA NA NA NA
94 NA NA NA NA NA
95 NA NA NA NA NA
96 0.689026074161625 0.670904667168917 0.669846482818978 0.666804202812903 0.661910100194434
97 NA NA NA NA NA
98 0.487056367326302 0.492808028854753 0.501696960307814 0.513200283364717 0.514246040006253
99 0.648488251095032 0.667679984512257 0.714144181206592 0.72828545846139 0.728285458461389
100 NA NA NA NA NA
101 NA NA NA NA NA
102 NA NA NA NA NA
