"ids" "roc_fda" "roc_entropy" "nef_fda" "nef_entropy" "nef1_entropy" "nef1_fda"
1 NA NA NA NA NA NA
2 NA NA NA NA NA NA
3 0.69478216647804 0.70327239273569 0.590637451690622 0.678357997756918 0.63514245735829 0.5946027303981
4 NA NA NA NA NA NA
5 NA NA NA NA NA NA
6 0.728514025961981 0.76534748695185 0.655378088901631 0.679683916384639 0.625111415796446 0.600925055525249
7 NA NA NA NA NA NA
8 NA NA NA NA NA NA
9 0.871805300047132 0.965509530253042 0.901961957003562 0.901961957003562 0.848592426263582 0.818310911516299
10 NA NA NA NA NA NA
11 NA NA NA NA NA NA
12 NA NA NA NA NA NA
13 0.948300470293826 0.978741424688268 0.955555449078843 0.955555449078843 0.958819063686208 0.938228595529313
14 0.534458375552238 0.685090923589509 0.513565496771062 0.586498962053106 0.563606156383818 0.514791211612735
15 NA NA NA NA NA NA
16 NA NA NA NA NA NA
17 NA NA NA NA NA NA
18 NA NA NA NA NA NA
19 0.566684894994092 0.640883083575035 0.545016813819032 0.493930982388187 0.497040040636358 0.508874392621385
20 NA NA NA NA NA NA
21 0.748982901999156 0.809843608992731 0.746496606513083 0.759081881367043 0.663240725291871 0.654905099680284
22 0.913988414632919 0.919435792220448 0.888889161654597 0.904040639610788 0.859584699227516 0.859584699227516
23 0.830955821396581 0.883182268500576 0.852941888878599 0.852941888878599 0.833457433606354 0.833457433606354
24 NA NA NA NA NA NA
25 NA NA NA NA NA NA
26 NA NA NA NA NA NA
27 NA NA NA NA NA NA
28 NA NA NA NA NA NA
29 NA NA NA NA NA NA
30 NA NA NA NA NA NA
31 NA NA NA NA NA NA
32 NA NA NA NA NA NA
33 NA NA NA NA NA NA
34 NA NA NA NA NA NA
35 0.986630618879137 0.995933758704951 0.99009164056726 0.990774975700553 0.970947003472958 0.944249655312974
36 NA NA NA NA NA NA
37 NA NA NA NA NA NA
38 NA NA NA NA NA NA
39 NA NA NA NA NA NA
40 NA NA NA NA NA NA
41 NA NA NA NA NA NA
42 NA NA NA NA NA NA
43 NA NA NA NA NA NA
44 NA NA NA NA NA NA
45 NA NA NA NA NA NA
46 0.840191831432791 0.844508879500442 0.742255921132911 0.742984526302853 0.794443515011096 0.773671491264849
47 NA NA NA NA NA NA
48 NA NA NA NA NA NA
49 NA NA NA NA NA NA
50 0.608851976140701 0.695026202288988 0.556343264169448 0.558297699129054 0.575325565904782 0.566405916180495
51 NA NA NA NA NA NA
52 NA NA NA NA NA NA
53 NA NA NA NA NA NA
54 NA NA NA NA NA NA
55 NA NA NA NA NA NA
56 0.698351536936387 0.957023884213299 0.638892483822797 0.952991920971015 0.84543692009417 0.593776520760318
57 NA NA NA NA NA NA
58 0.766784275059939 0.879095701122729 0.749669219311678 0.865270476838844 0.723924698024374 0.636012451026548
59 NA NA NA NA NA NA
60 NA NA NA NA NA NA
61 0.848482897043319 0.859504641363922 0.805421363392378 0.826892109500805 0.759818897577955 0.744885357530988
62 NA NA NA NA NA NA
63 NA NA NA NA NA NA
64 NA NA NA NA NA NA
65 NA NA NA NA NA NA
66 NA NA NA NA NA NA
67 NA NA NA NA NA NA
68 0.561906516567442 0.656560206671087 0.585004638509472 0.5916981120819 0.547174218752808 0.54097112585901
69 NA NA NA NA NA NA
70 0.573438158337002 0.691149899242385 0.604607483347927 0.634637294739224 0.619639274902433 0.601085093190356
71 NA NA NA NA NA NA
72 0.694519792700408 0.85679766669045 0.558820293556766 0.798473467427165 0.616280588928528 0.52035073616066
73 NA NA NA NA NA NA
74 NA NA NA NA NA NA
75 NA NA NA NA NA NA
76 0.42559880080246 0.517916756807452 0.467830978562339 0.499020371760151 0.497672554141255 0.492251754365801
77 0.833891783628944 0.815775401584942 0.454193695231592 0.454193695231592 0.485268200099417 0.485268200099417
78 NA NA NA NA NA NA
79 0.763589031650694 0.808023176625342 0.775991823872473 0.778090261119569 0.694485723278924 0.69594518638428
80 NA NA NA NA NA NA
81 NA NA NA NA NA NA
82 0.684203317901235 0.720412946428571 0.548611111111111 0.628472222222222 0.620254739604543 0.536582055110629
83 NA NA NA NA NA NA
84 0.683206789077501 0.555531743058185 0.492438613393579 0.500104049653007 0.500879087791612 0.487769880953454
85 0.523209665144597 0.693345224505327 0.506178705969625 0.518524238320385 0.530985281563183 0.519545898186675
86 NA NA NA NA NA NA
87 0.68946637798874 0.704253126894044 0.637911783393579 0.643140494102697 0.613453584945506 0.590430444236931
88 NA NA NA NA NA NA
89 NA NA NA NA NA NA
90 0.876665674300576 0.868432182378534 0.784702554307258 0.781823696389686 0.902364232100765 0.919871335310283
91 0.714598630052933 0.725973726952633 0.729202399257247 0.72789600145904 0.872385455778655 0.861263087245602
92 NA NA NA NA NA NA
93 NA NA NA NA NA NA
94 NA NA NA NA NA NA
95 NA NA NA NA NA NA
96 0.673094751936814 0.719564357856116 0.715612955953847 0.705692477673167 0.705660914011327 0.659670431825597
97 NA NA NA NA NA NA
98 0.518864342576614 0.509649634091056 0.52287353229893 0.516337553289326 0.509427895043184 0.515484340783391
99 0.599989203901651 0.660407735949225 0.722224911066476 0.671720349442199 0.672392527975243 0.648991994259189
100 NA NA NA NA NA NA
101 NA NA NA NA NA NA
102 NA NA NA NA NA NA
