"ids" "roc" "nef10"
1 NA NA
2 NA NA
3 0.737428367931387 0.671925157712056
4 NA NA
5 NA NA
6 0.749860144137287 0.68239228001846
7 NA NA
8 NA NA
9 0.915199296570528 0.898040435283704
10 NA NA
11 NA NA
12 NA NA
13 0.9547220434051 0.950222102968305
14 0.657836918262571 0.601719859155446
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 0.63164772263401 0.533905645482824
20 NA NA
21 0.649556207138841 0.593243916719999
22 0.894963925091763 0.878182117232221
23 0.883541615869699 0.870588862213167
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 0.996053761520951 0.991061976456535
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 0.850844027789953 0.751531064946277
47 NA NA
48 NA NA
49 NA NA
50 0.756747973601729 0.652716452027618
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 0.893426018038378 0.835899069571543
57 NA NA
58 0.872981573195325 0.851764257973799
59 NA NA
60 NA NA
61 0.862194688382329 0.814922168545357
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 0.624888728706544 0.581256293308913
69 NA NA
70 0.613891271723642 0.616819606647055
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 0.510556412369168 0.501749443664959
77 0.549435184489077 0.477585394007381
78 NA NA
79 0.812970550577043 0.78115397950033
80 NA NA
81 NA NA
82 0.692907757385362 0.653472222222222
83 NA NA
84 0.524084787342392 0.513704723701878
85 0.677306706621005 0.528400664200992
86 NA NA
87 0.777850754376355 0.717754195921811
88 NA NA
89 NA NA
90 0.866533679721629 0.858500020697145
91 0.878588814709637 0.810363295612181
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 0.687971733457355 0.664687834113024
97 NA NA
98 0.503126166521268 0.510324452600491
99 0.703604351719056 0.729295549693875
100 NA NA
101 NA NA
102 NA NA
