"ids" "nef_50" "nef_100" "nef_200" "nef_1000" "nef_500"
1 NA NA NA NA NA
2 NA NA NA NA NA
3 0.612980739953386 0.607575443025361 0.616223918110201 0.599467497633323 0.605413324254151
4 NA NA NA NA NA
5 NA NA NA NA NA
6 0.610922084437344 0.593636898963529 0.591540747740025 0.590089566123753 0.590121814604115
7 NA NA NA NA NA
8 NA NA NA NA NA
9 0.580903835897597 0.668114598369773 0.706874937246296 0.744424015532927 0.739578973173362
10 NA NA NA NA NA
11 NA NA NA NA NA
12 NA NA NA NA NA
13 0.837747110923661 0.869044622522142 0.887987853226487 0.855043104175453 0.875633572332349
14 0.550290850966742 0.543092116942669 0.540645488385468 0.553560864134539 0.55247870150347
15 NA NA NA NA NA
16 NA NA NA NA NA
17 NA NA NA NA NA
18 NA NA NA NA NA
19 0.495028200798904 0.496389151277182 0.501773781430369 0.511300434778316 0.511537121818016
20 NA NA NA NA NA
21 0.587219819714194 0.590153959929473 0.597622680477455 0.635699818271186 0.599156435589987
22 0.791623693653633 0.810345733756631 0.833186622682289 0.840675438723488 0.852095883186316
23 0.790459171010176 0.792881608339538 0.80620501365103 0.831640605609333 0.832851824274013
24 NA NA NA NA NA
25 NA NA NA NA NA
26 NA NA NA NA NA
27 NA NA NA NA NA
28 NA NA NA NA NA
29 NA NA NA NA NA
30 NA NA NA NA NA
31 NA NA NA NA NA
32 NA NA NA NA NA
33 NA NA NA NA NA
34 NA NA NA NA NA
35 0.822996581699306 0.90536575293408 0.935627982289544 0.968905441554841 0.968528537816112
36 NA NA NA NA NA
37 NA NA NA NA NA
38 NA NA NA NA NA
39 NA NA NA NA NA
40 NA NA NA NA NA
41 NA NA NA NA NA
42 NA NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 0.682395756919881 0.676319939974104 0.748571962571467 0.779487657913798 0.777583555737059
47 NA NA NA NA NA
48 NA NA NA NA NA
49 NA NA NA NA NA
50 0.575345387348614 0.607515590687542 0.586029145573926 0.672292069129697 0.642163474505439
51 NA NA NA NA NA
52 NA NA NA NA NA
53 NA NA NA NA NA
54 NA NA NA NA NA
55 NA NA NA NA NA
56 0.618506613545251 0.605031883502179 0.619695560313757 0.647120599107304 0.623024611265575
57 NA NA NA NA NA
58 0.580057076972494 0.606985986316038 0.630460098584581 0.688605567212966 0.6598258737221
59 NA NA NA NA NA
60 NA NA NA NA NA
61 0.660261963931511 0.669918986495216 0.692020625764726 0.734531436431758 0.699039389586801
62 NA NA NA NA NA
63 NA NA NA NA NA
64 NA NA NA NA NA
65 NA NA NA NA NA
66 NA NA NA NA NA
67 NA NA NA NA NA
68 0.522858094609123 0.528068692639912 0.539482383564499 0.544196734163785 0.546429847605552
69 NA NA NA NA NA
70 0.592550169602801 0.592735711419922 0.598116424116424 0.600714009556115 0.603497136812926
71 NA NA NA NA NA
72 0.626580425752025 0.620117783039242 0.614261013080783 0.595277000111984 0.600931812485669
73 NA NA NA NA NA
74 NA NA NA NA NA
75 NA NA NA NA NA
76 0.510971582923702 0.500491370024491 0.514079508128296 0.511188414914721 0.525137939670223
77 0.485629415397593 0.485268200099417 0.485990630695769 0.489602783677527 0.489602783677527
78 NA NA NA NA NA
79 0.56060430774765 0.596370883582895 0.611393623814021 0.693824100004497 0.690263010027429
80 NA NA NA NA NA
81 NA NA NA NA NA
82 0.596440206325506 0.583953667254875 0.56644676711461 0.53941405366273 0.545592959594589
83 NA NA NA NA NA
84 0.486060828802702 0.483380724293567 0.485924881472528 0.509735085300057 0.495829615528025
85 0.493921679423298 0.490718652077876 0.503073186124504 0.518173172181494 0.514054994165951
86 NA NA NA NA NA
87 0.624068464556407 0.627073590290999 0.645395163318034 0.612726538396814 0.636476725654081
88 NA NA NA NA NA
89 NA NA NA NA NA
90 0.858677276091784 0.929998521166866 0.953969785561437 0.978641334084388 0.9709382086722
91 0.829511652022823 0.851475402936515 0.856626815730771 0.871917145524632 0.86505640030319
92 NA NA NA NA NA
93 NA NA NA NA NA
94 NA NA NA NA NA
95 NA NA NA NA NA
96 0.618217677215525 0.60448185320272 0.62312332864867 0.616378057928096 0.612821460639066
97 NA NA NA NA NA
98 0.51136595768005 0.513061762487309 0.517906919079475 0.52420562264929 0.523236591330857
99 0.625591460543135 0.647119951561904 0.652736079653757 0.647119951561904 0.64524790886462
100 NA NA NA NA NA
101 NA NA NA NA NA
102 NA NA NA NA NA
